userId,RecommendedItemIds
4,33475 33173 15743 32347 36872 
5,33475 33173 15743 32347 36872 
8,33475 33173 15743 32347 36872 
9,33475 33173 15743 32347 36872 
13,33475 33173 15743 32347 36872 
18,33475 33173 15743 32347 36872 
19,33475 33173 15743 32347 36872 
23,33475 33173 15743 32347 36872 
26,33475 33173 15743 32347 36872 
29,33475 33173 15743 32347 36872 
31,33475 33173 15743 32347 36872 
32,33475 33173 15743 32347 36872 
33,33475 33173 15743 32347 36872 
35,33475 33173 15743 32347 36872 
37,33475 33173 15743 32347 36872 
51,33475 33173 15743 32347 36872 
52,33475 33173 15743 32347 36872 
53,33475 33173 36872 15743 32347 
54,33475 33173 15743 32347 36872 
61,33475 33173 15743 32347 36872 
64,33475 33173 15743 32347 36872 
69,33475 33173 15743 32347 36872 
76,33475 33173 15743 32347 36872 
78,33475 33173 15743 32347 36872 
79,33475 33173 15743 32347 36872 
85,33475 33173 15743 32347 36872 
89,33475 33173 15743 32347 36872 
92,33475 33173 15743 32347 36872 
93,33475 33173 15743 32347 36872 
95,33475 33173 15743 32347 36872 
100,33475 33173 15743 32347 36872 
104,33475 33173 15743 32347 36872 
105,33475 33173 15743 32347 1076 
109,33475 33173 15743 32347 36872 
110,33475 33173 15743 32347 36872 
111,33475 33173 35300 15743 32347 
112,33475 33173 36872 15743 32347 
122,33475 33173 15743 32347 36872 
126,33475 33173 15743 32347 36872 
131,33475 33173 15743 32347 36872 
132,33475 33173 15743 32347 36872 
136,33475 33173 15743 32347 36872 
140,33475 33173 15743 32347 36872 
144,33475 33173 15743 32347 36872 
145,33475 33173 15743 32347 36872 
146,33475 33173 32347 15743 36872 
151,33475 33173 15743 32347 36872 
152,33475 33173 15743 32347 36872 
155,33475 33173 15743 32347 36872 
156,33475 33173 15743 32347 36872 
160,33475 33173 15743 32347 36872 
162,33475 33173 15743 32347 36872 
164,33475 33173 15743 32347 36872 
165,33475 33173 15743 32347 36872 
166,33475 33173 15743 32347 36872 
169,33475 33173 15743 32347 36872 
173,33475 33173 15743 32347 36872 
179,33475 33173 15743 32347 36872 
184,33475 33173 15743 32347 36872 
185,33475 33173 15743 32347 36872 
186,33475 33173 32347 15743 36872 
187,33475 33173 15743 32347 36872 
189,33475 33173 15743 32347 36872 
190,33475 33173 15743 32347 36872 
191,33475 33173 15743 32347 36872 
197,33475 33173 15743 32347 36872 
205,33475 33173 15743 32347 36872 
208,33475 33173 15743 32347 36872 
209,33475 33173 15743 32347 36872 
217,33475 33173 15743 32347 36872 
218,33475 33173 15743 32347 36872 
222,33475 33173 15743 32347 36872 
223,33475 33173 15743 32347 36872 
234,33475 33173 15743 32347 36872 
240,33475 33173 15743 32347 36872 
246,33475 33173 15743 32347 36872 
247,33475 33173 15743 32347 36872 
250,33475 33173 15743 32347 36872 
257,33475 33173 15743 32347 36872 
258,33475 33173 15743 32347 36872 
268,33475 33173 15743 32347 36872 
269,33475 33173 15743 32347 36872 
270,33475 33173 15743 32347 36872 
274,33475 33173 15743 32347 36872 
278,33475 33173 15743 32347 36872 
281,33475 33173 15743 17648 32347 
288,33475 33173 15743 32347 36872 
294,33475 33173 15743 32347 36872 
296,33475 33173 15743 32347 36872 
299,33475 33173 15743 32347 36872 
301,33475 33173 15743 32347 36872 
308,33475 33173 15743 32347 36872 
310,33475 33173 15743 32347 36872 
312,33475 33173 15743 32347 36872 
314,33475 33173 15743 32347 36872 
318,33475 33173 15743 32347 36872 
321,33475 33173 15743 32347 36872 
326,33475 33173 15743 32347 36872 
327,33475 33173 15743 32347 36872 
333,33475 33173 15743 32347 36872 
336,33475 33173 15743 32347 1076 
337,33475 33173 15743 32347 36872 
339,33475 33173 15743 32347 36872 
344,33475 33173 15743 32347 36872 
350,33475 33173 15743 32347 36872 
353,33475 33173 15743 32347 36872 
355,33475 33173 15743 32347 36872 
359,33475 33173 15743 32347 36872 
361,33475 33173 15743 32347 36872 
364,33475 33173 15743 32347 36872 
365,33475 33173 35300 34517 36872 
374,33475 33173 15743 32347 36872 
375,33475 33173 15743 32347 12866 
376,33475 33173 15743 32347 36872 
378,33475 33173 15743 32347 36872 
379,33475 33173 15743 32347 36872 
380,33475 33173 15743 32347 36872 
383,33475 33173 15743 32347 36872 
385,33475 33173 15743 32347 36872 
388,33475 33173 15743 32347 36872 
390,33475 33173 15743 32347 36872 
393,33475 33173 15743 32347 36872 
399,33475 33173 15743 32347 1076 
401,33475 33173 32347 1076 15743 
405,33475 33173 15743 32347 36872 
412,33475 33173 15743 32347 36872 
413,33475 33173 17648 15743 32347 
415,33475 33173 15743 32347 36872 
418,33475 33173 15743 32347 36872 
431,33475 33173 15743 32347 36872 
433,33475 33173 15743 32347 36872 
441,33475 33173 32347 15743 36872 
443,33475 33173 15743 32347 36872 
445,33475 33173 15743 32347 36872 
449,33475 33173 15743 32347 36872 
456,33475 33173 15743 32347 36872 
458,33475 33173 15743 32347 36872 
459,33475 33173 15743 32347 36872 
463,33475 33173 15743 32347 36872 
466,33475 33173 15743 32347 36872 
477,33475 33173 29848 3431 17648 
478,33475 33173 34517 15743 32347 
481,33475 33173 15743 32347 36872 
487,33475 33173 15743 32347 36872 
488,33475 33173 15743 32347 36872 
491,33475 33173 15743 32347 36872 
494,33475 33173 15743 32347 36872 
503,33475 33173 15743 32347 36872 
504,33475 33173 15743 32347 36872 
508,33475 33173 15743 32347 36872 
509,33475 33173 15743 32347 36872 
510,33475 33173 15743 32347 36872 
511,33475 33173 15743 32347 36872 
516,33475 33173 15743 32347 1076 
524,33475 33173 15743 32347 36872 
527,33475 33173 1076 15743 32347 
531,33475 33173 15743 32347 36872 
532,33475 33173 15743 32347 36872 
541,33475 33173 15743 32347 36872 
542,33475 33173 15743 32347 36872 
543,33475 33173 15743 32347 36872 
549,33475 33173 15743 32347 36872 
551,33475 33173 15743 32347 36872 
559,33475 33173 15743 32347 36872 
565,33475 33173 15743 32347 36872 
568,33475 33173 15743 32347 36872 
569,33475 33173 15743 32347 1076 
572,33475 33173 15743 32347 36872 
582,33475 33173 15743 32347 36872 
589,33475 33173 15743 32347 36872 
590,33475 33173 15743 32347 36872 
592,33475 33173 15743 32347 36872 
595,33475 33173 15743 32347 36872 
599,33475 33173 15743 32347 36872 
600,33475 33173 15743 32347 36872 
603,33475 33173 15743 32347 36872 
605,33475 33173 15743 32347 1076 
606,33475 33173 15743 32347 36872 
615,33475 33173 15743 32347 36872 
616,33475 33173 15743 32347 36872 
617,33475 33173 15743 32347 36872 
621,33475 33173 15743 32347 36872 
632,33475 33173 15743 32347 36872 
643,33475 33173 15743 32347 36872 
646,33475 33173 15743 32347 36872 
651,33475 33173 15743 32347 36872 
652,33475 33173 15743 32347 36872 
653,33475 33173 15743 32347 36872 
654,33475 33173 15743 32347 36872 
658,33475 33173 15743 32347 1076 
659,33475 33173 15743 32347 36872 
663,33475 33173 15743 32347 36872 
665,33475 33173 15743 32347 36872 
673,33475 33173 15743 32347 36872 
675,33475 33173 15743 32347 36872 
680,33475 33173 15743 32347 36872 
681,33475 33173 15743 32347 36872 
684,33475 33173 15743 32347 36872 
691,33475 33173 15743 32347 36872 
696,33475 33173 15743 32347 36872 
700,33475 33173 15743 32347 36872 
705,33475 33173 15743 32347 36872 
706,33475 33173 15743 32347 36872 
710,33475 33173 15743 32347 36872 
712,33475 33173 15743 32347 1076 
713,33475 33173 15743 32347 36872 
715,33475 33173 15743 32347 36872 
717,33475 33173 15743 32347 36872 
722,33475 33173 15743 32347 36872 
725,33475 33173 15743 32347 36872 
729,33475 33173 15743 32347 36872 
733,33475 33173 15743 32347 36872 
739,33475 33173 15743 32347 36872 
741,33475 33173 1076 36872 15743 
744,33475 33173 15743 32347 36872 
747,33475 33173 15743 32347 36872 
750,33475 33173 15743 32347 36872 
757,33475 33173 15743 32347 36872 
759,33475 33173 15743 32347 36872 
761,33475 33173 15743 32347 36872 
773,33475 33173 15743 32347 36872 
777,33475 33173 15743 32347 36872 
780,33475 33173 15743 32347 36872 
782,33173 33475 15743 32347 36872 
784,33475 33173 15743 32347 36872 
787,33475 33173 15743 32347 36872 
788,33475 33173 15743 32347 36872 
789,33475 33173 15743 32347 36872 
791,33475 33173 15743 32347 36872 
792,33475 33173 15743 32347 36872 
796,33475 33173 15743 32347 36872 
801,33475 33173 15743 32347 36872 
806,33475 33173 15743 32347 36872 
808,33475 33173 15743 32347 36872 
810,33475 33173 15743 32347 36872 
813,33475 33173 15743 32347 36872 
816,33475 33173 15743 32347 36872 
820,33475 33173 15743 32347 36872 
826,33475 33173 15743 32347 36872 
827,33475 33173 15743 32347 25363 
828,33475 33173 15743 32347 36872 
831,33475 33173 32347 15743 36872 
833,33475 33173 15743 32347 36872 
834,33475 33173 15743 32347 1076 
835,33475 33173 15743 32347 36872 
839,33475 33173 15743 32347 36872 
850,33475 33173 15743 32347 36872 
852,33475 33173 34517 32347 15743 
853,33475 33173 15743 32347 36872 
854,33475 33173 15743 32347 36872 
857,33475 33173 15743 32347 36872 
862,33475 33173 32347 15743 12866 
867,33475 33173 15743 32347 36872 
869,33475 33173 15743 32347 36872 
873,33475 33173 15743 32347 36872 
874,33475 33173 15743 32347 36872 
879,33475 33173 32347 15743 36872 
883,33475 33173 15743 32347 36872 
884,33475 33173 15743 32347 36872 
886,33475 33173 15743 32347 36872 
888,33475 33173 32347 15743 36872 
890,33475 33173 15743 32347 36872 
899,33475 33173 15743 32347 36872 
900,33475 33173 1076 15743 32347 
905,33475 33173 15743 32347 36872 
907,33475 33173 15743 32347 36872 
908,33475 33173 15743 32347 36872 
909,33475 33173 15743 32347 36872 
916,33475 33173 15743 32347 36872 
919,33475 33173 15743 32347 36872 
926,33475 33173 15743 32347 36872 
927,33475 33173 36872 15743 32347 
929,33475 33173 15743 32347 36872 
937,33475 33173 15743 32347 1076 
942,33475 33173 15743 32347 36872 
944,33475 33173 15743 32347 36872 
946,33475 33173 15743 32347 36872 
947,33475 33173 15743 32347 36872 
949,33475 33173 15743 32347 36872 
