userId,RecommendedItemIds
11326,19087 30278 12853 11144 2536 
3906,7562 579 16825 12368 33840 
8456,20620 4327 28102 32164 18546 
8564,12354 28688 32916 6773 12866 
10046,36853 22272 7984 7733 4327 
1734,5578 27650 25760 12997 12305 
3198,7368 18741 20518 33500 28199 
3358,20620 14351 18506 6855 8096 
4394,12560 11618 29054 17864 17801 
6586,14239 16169 36937 35655 24525 
12180,5578 18506 14001 18427 29928 
12752,12866 34517 20620 18200 25421 
13018,12635 36855 15037 25312 3437 
13928,7393 36248 3431 16825 12866 
1236,20620 2578 31992 16825 12866 
3418,27356 19943 6312 8519 27761 
6866,20620 2041 12669 7733 12866 
14472,23030 6461 14616 17445 14709 
152,34517 579 16825 33376 20620 
15116,34561 25818 34234 35899 12255 
12132,27299 34517 28308 31992 33376 
10098,7733 17938 11012 4381 28182 
4386,3431 2041 31992 2578 34517 
7886,31992 19419 7393 18200 25920 
5448,18024 7311 14709 12479 8035 
8582,20367 23388 15281 25656 3943 
9078,29115 33562 15899 31992 29184 
9186,32291 15328 15971 31992 7396 
9366,28463 27566 14669 15328 26346 
13176,25635 14072 24476 14880 1574 
13970,2041 33562 10200 13726 12866 
3118,6446 7759 22341 11618 11499 
3218,23030 18546 21912 25421 13069 
7012,27971 10859 12368 33840 29813 
9860,34517 579 28102 29915 9913 
11920,16367 36853 17463 2041 18303 
12006,35247 27569 34351 2041 27971 
14014,34517 7733 33376 18720 16367 
3846,27660 25421 34715 33543 27928 
7392,9913 7733 11012 22813 15831 
8936,22102 31220 36838 34438 31886 
10654,13473 5578 27971 29915 15293 
11890,6627 34715 9913 4382 34141 
13236,31432 14212 22102 25278 36838 
13404,34715 31992 17207 36872 2578 
14856,31432 14212 22102 25278 36838 
5900,12866 20620 6773 10685 32916 
6818,3431 12866 20620 24034 7733 
8754,14709 24034 18303 2049 27847 
13410,26840 17719 36535 20268 13569 
10584,16367 4327 14932 28102 3366 
14798,35300 26197 30758 4722 4327 
3202,2597 33421 16947 27810 36651 
10086,34351 6773 6461 18546 34930 
10636,2836 15417 7065 25502 6699 
13458,8035 6461 27971 579 36853 
8042,3431 12866 7393 12867 31992 
9886,34517 33376 4327 16825 11652 
11160,12354 7393 21459 25694 18200 
2274,13502 34517 27971 29915 13726 
7584,7733 24626 25624 33500 29221 
8224,4038 12362 7788 27418 8243 
1816,34517 16766 7311 15280 18200 
3168,20620 22029 18200 35300 33475 
6422,13451 22904 1434 3974 19022 
122,34517 24034 10059 7597 30925 
12072,19622 18791 6461 20407 32777 
2524,25939 29915 8205 26951 49 
1620,7393 6552 15281 34517 10200 
1788,23030 1289 22328 12255 28688 
2696,28688 2041 8549 17782 5578 
9708,2041 29915 7733 25304 12354 
13328,17315 21913 36023 32916 32347 
6120,10200 25502 25304 25363 14709 
6026,23987 26658 15037 36934 33396 
14654,24391 19022 13372 10919 3407 
1240,35300 28688 6552 22870 18341 
7362,32916 17380 3681 17801 9535 
14988,15973 13502 4105 36853 24880 
4736,1289 28688 31992 20620 31366 
8406,34930 13782 15328 6446 28028 
7544,13021 36087 16724 8170 15139 
13676,33376 16825 13390 16753 2143 
10830,34891 34949 26401 35604 27569 
8458,14101 18222 16411 26951 25421 
5024,8216 33475 12866 7393 18200 
9598,26669 26468 6627 30166 27923 
5588,13365 14040 27326 15281 35604 
8228,25624 25304 18546 31992 9893 
9178,28102 33376 3431 18720 20620 
10690,34860 17557 31333 23319 32956 
11552,25512 30661 20353 3474 29763 
1146,15899 17315 3958 30325 16031 
12212,30453 27780 35860 35224 35149 
15218,36542 16753 10859 33376 34517 
5402,16766 14101 22904 8939 13365 
9260,33562 36575 28691 25008 15459 
7808,25715 3707 4386 17445 551 
2968,9893 12866 6446 14932 28688 
3020,2041 8216 12866 18200 30360 
8538,7733 6643 33175 37033 2041 
8594,34517 18546 2227 13323 27569 
4990,31695 16238 14720 13473 1733 
6674,14372 32866 33376 36691 4327 
14794,3431 2041 26167 15037 16367 
2212,16367 9893 17445 22328 23030 
11494,34715 26681 10701 10658 29816 
10794,16367 16825 2578 4381 34517 
926,29318 26681 32956 32798 31687 
9578,33500 20620 32347 17445 17389 
6952,16367 36598 35860 35224 35149 
9090,4387 6773 10701 16367 4013 
12024,35149 18976 34517 34726 26942 
1726,23030 30453 20620 28102 24034 
4634,8519 7597 12866 6627 4327 
7910,579 34517 36853 35300 33376 
8512,13502 20620 13473 6773 29005 
10384,13782 17463 34365 14932 18178 
13284,7393 7733 10514 19622 11264 
7578,7733 12866 4327 3431 16367 
9390,18546 3431 32347 30758 25421 
862,34517 11618 2041 23949 4258 
6798,14709 25304 6773 1826 24034 
11972,100 18791 35624 29177 10029 
7242,33475 9577 12354 10701 3431 
9686,4387 13196 27326 15442 28200 
11528,18976 33788 30156 32615 11618 
13338,20620 15971 6446 30453 9012 
2072,30910 5612 22324 8717 22433 
2624,13950 2911 24012 9577 13473 
2764,15086 13473 2049 11366 30910 
2850,5227 11366 13473 15599 30910 
5458,36663 35381 17881 18657 15319 
6708,6461 33707 35300 3431 12866 
7154,35300 29452 22324 19127 32827 
7654,8732 34351 30910 5612 33603 
8638,17445 10082 11366 12866 18389 
11340,35300 21912 22850 14709 36872 
11602,23506 23145 35486 13473 5227 
6270,31172 32219 31983 12340 36348 
13466,25920 14932 16031 6546 6461 
14208,12866 18546 7733 15899 34517 
4158,25656 33974 34930 24342 34715 
12652,34611 28385 25015 24222 21889 
5862,16753 6461 19618 6871 32347 
6972,32337 28028 12866 12362 36822 
3330,35738 1289 12866 25304 7733 
5956,13502 11570 2049 1836 19112 
6148,17407 25304 49 15328 2339 
5528,13687 19618 31037 26477 13069 
3582,26325 19725 19419 876 22904 
8174,11579 30019 3366 9415 8205 
5308,25150 13198 35335 28151 20367 
852,35738 6461 9913 36853 2041 
2772,3431 24034 14709 21912 16367 
10226,32025 23081 16825 2578 33376 
2914,9913 36691 16825 14609 17483 
10326,18341 2431 27270 1583 35425 
888,3431 35300 19931 19419 34517 
1508,14372 12713 27650 8035 24626 
3604,21769 33029 32530 30475 29443 
3868,33818 15489 10685 25300 3431 
5160,21769 33029 32530 30475 29443 
9636,7733 24626 4105 8035 19852 
12146,6461 10082 13726 16257 6089 
13824,33029 32530 30475 29443 26044 
8622,25663 26197 30758 10672 17815 
12932,20620 24034 19419 3431 18546 
4926,20620 34517 16367 29915 16825 
8792,30982 23030 18655 7368 12866 
2066,12866 20620 35300 7393 31992 
15248,10200 20965 26713 35646 31182 
9138,14709 27569 2041 2049 13502 
13226,21913 34143 35784 33570 33360 
816,10200 15899 21912 8970 3665 
780,15899 2759 31992 28607 27780 
956,6574 32674 24626 18873 32739 
13230,34517 14372 23282 33804 8216 
3692,33840 36607 16825 34517 7565 
7302,30389 33707 15730 27890 14264 
12710,14938 10138 1886 25715 25255 
2346,14709 28102 579 3366 29915 
4900,32916 33475 6627 33500 25629 
7096,20913 26756 35759 9930 19565 
12530,35359 27270 5905 18316 12255 
14556,2578 18717 29184 34930 32025 
784,35982 23805 3858 31366 24986 
14608,18720 34517 17813 9415 7292 
11458,12866 28688 7287 31992 19544 
7098,7393 2911 24786 35300 2041 
10994,22620 15896 9794 897 34957 
834,13502 25286 5713 10082 6627 
6654,29816 33804 21912 8013 15899 
1918,2041 5227 24834 30360 1076 
2728,29184 2041 3456 14372 13343 
3422,6446 11618 13782 13502 36822 
5504,20367 25300 19837 15280 11618 
7850,17578 19658 535 3014 29761 
8496,34365 27971 33475 7597 18546 
13040,32347 9893 30173 18546 22850 
8128,21695 26756 9930 19565 33919 
11436,20620 3431 12866 14988 10701 
820,6081 6746 34715 33500 22488 
1696,15743 33475 23507 32915 10448 
3644,36937 32915 10448 27020 12263 
6598,4197 32916 27132 36937 32915 
10842,13069 35300 12866 9012 34517 
1516,35001 35623 31531 28622 28427 
5610,2578 16367 3431 16825 6592 
5878,32799 35001 32459 30886 956 
7008,31886 30981 22982 25213 12654 
7022,8295 33577 7592 34090 36775 
9822,579 9913 14988 30964 20955 
6002,27299 33788 6627 25506 5489 
5736,11618 6773 26762 12354 17582 
1152,12866 20620 2041 7393 16367 
2388,16825 35247 27569 2578 36334 
7352,33298 31992 12866 6461 23949 
652,30453 19242 12354 25007 4327 
6716,17380 8347 19419 28102 15971 
6738,9415 32347 20620 36853 6461 
8634,30453 26346 36853 2143 20620 
9228,20620 18575 6482 22328 31992 
13352,34517 26167 32291 27299 6871 
7026,34422 26744 19294 17710 15442 
5824,15442 21051 13498 26447 15398 
9278,23030 36853 6773 34517 20620 
10646,34156 36853 26273 21108 36348 
10884,35303 34289 30325 22037 4387 
8312,12354 6871 579 24786 7498 
13922,26743 17748 3589 31708 32064 
1572,18097 2404 23731 19785 2050 
8286,19478 19752 12669 19801 35300 
9176,35486 15971 24706 34930 31177 
14078,15971 31177 30600 19123 15478 
3378,24512 25952 25286 22870 17731 
9608,24123 11259 30925 8035 7933 
13184,18720 26167 33376 34517 579 
10056,27326 14040 35257 34600 34378 
14448,29081 6773 36238 31238 3407 
7160,34536 17140 9902 33445 14784 
9512,34517 579 2143 33376 30453 
4462,2049 4105 4778 27660 19127 
5550,25940 7597 2041 3366 12384 
10630,2578 20620 23030 15037 13473 
1906,26890 23310 16766 34884 33804 
13576,34480 35318 36853 418 21263 
2270,18546 34517 11259 27686 34351 
2762,6461 10701 33500 11618 3431 
6958,34517 3974 4387 28308 6703 
14142,27971 21804 17272 10200 16753 
12862,6461 8035 20620 35300 36853 
4084,36984 26942 3519 15674 8519 
11012,27660 10685 20693 16724 13198 
12068,18200 9123 29008 5446 35010 
12166,12866 6773 28688 34765 31584 
13786,14988 20693 16724 13198 7092 
6378,7733 34517 22904 28688 12669 
8966,24552 21109 5214 34319 33815 
1808,1904 21311 34713 21277 33376 
6636,28607 25304 7368 32591 33500 
13744,2836 35454 29915 26197 20773 
2124,2143 25304 23030 24034 33376 
3602,11259 10059 12866 6446 18178 
3776,34517 11259 31333 23319 17557 
4454,18303 4228 28053 36853 6699 
7422,10200 35579 14762 24012 17315 
