userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,269 28083 35738 35158 25920 
8,29915 28966 25363 18016 28109 
9,29915 28109 35381 28059 25363 
13,20620 34351 10701 35300 14709 
18,3431 18615 7342 7759 23240 
19,6627 12354 3431 17389 6461 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,6461 33173 9735 10701 17152 
33,28346 6539 10620 26098 28738 
35,23282 12866 353 34517 31136 
37,30453 8099 12873 20620 25020 
51,31992 3841 23282 24786 12669 
52,36248 36518 8669 36872 17389 
53,23282 6461 4708 18546 3431 
54,19938 25196 16766 12697 10701 
61,15221 5671 24236 32128 30284 
64,28701 16766 23081 15743 22029 
69,7801 10834 33997 30091 10546 
76,12866 16125 24834 15280 27559 
78,35300 6612 20495 26739 13943 
79,2731 7733 26197 16730 14839 
85,9577 34351 4327 30360 15042 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,35300 3456 34715 32476 6459 
95,8519 7368 2041 17463 31076 
100,16825 11366 14076 100 3974 
104,15306 9913 25363 26687 17536 
105,17782 35061 7197 13376 17644 
109,16272 20745 35224 2143 9913 
110,21717 3366 36853 20620 2911 
111,27660 6461 14988 36599 8759 
112,30053 14532 6725 33515 19072 
122,23030 26197 14709 29570 17445 
126,3366 21717 35454 36853 11259 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,33500 24639 23282 6391 33173 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,14616 18016 19565 11871 26889 
152,16367 3431 13726 19642 32347 
155,36827 32688 29811 29450 28895 
156,35300 3456 34715 28814 14616 
160,26285 5806 21263 33597 4244 
162,6871 31992 14715 22405 579 
164,30173 7733 6461 30846 28103 
165,28102 15971 16184 2523 16272 
166,33500 17207 3431 19211 2580 
169,22533 22433 20796 33115 7937 
173,8519 25304 7824 25629 14616 
179,27660 12866 26332 2911 32956 
184,30453 25020 20428 26349 10415 
185,2623 36853 35738 17389 16367 
186,33173 32347 15743 34517 17445 
187,26197 16766 36853 23507 6461 
189,13726 17813 20745 30758 23145 
