userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,28083 35158 35738 269 33603 
8,29915 28966 25363 28109 18016 
9,29915 28109 35381 6461 28059 
13,20620 34351 14709 35300 10701 
18,3431 2561 18615 7759 2041 
19,6627 3431 6461 12354 16367 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,6461 33173 9735 10701 2143 
33,28346 6539 10620 26098 28738 
35,12866 23282 1289 34517 353 
37,30453 20620 8099 12873 22328 
51,3841 31992 23282 24786 12669 
52,36248 36518 34351 6848 17597 
53,23282 6461 4708 35300 18546 
54,25196 19938 16766 12697 22029 
61,15221 5671 24236 8519 11862 
64,28701 16766 23081 33603 22029 
69,10546 7801 10834 33997 36370 
76,12866 15280 16125 2041 6446 
78,35300 6612 20495 26739 13943 
79,2731 16730 26197 26454 19752 
85,9577 34351 4327 8096 22328 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,34715 35300 27131 6459 28814 
95,8519 2041 17463 7368 31076 
100,16825 14076 3974 100 3456 
104,9913 15306 25363 30653 20620 
105,17782 35061 7197 13376 17644 
109,16272 35224 20745 9913 17207 
110,21717 3366 36853 34365 30173 
111,6461 13473 36872 36599 8759 
112,30053 14532 6725 33515 19072 
122,26197 23030 33173 34517 7597 
126,21717 3366 2836 16825 5227 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,33500 24639 23282 13367 26468 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,14616 19565 18016 11871 17383 
152,19642 6643 1289 22546 13011 
155,36827 32688 29811 29450 28895 
156,35300 3456 34351 34715 10701 
160,26285 5806 21263 2041 33597 
162,6871 16367 14715 9913 31992 
164,30173 6461 7733 28103 30846 
165,28102 16184 15971 2523 26815 
166,33500 17207 19211 3431 6552 
169,22533 22433 20796 33115 7937 
173,8519 25304 7824 32916 19837 
179,27660 12866 2911 32956 6461 
184,30453 17380 25020 26349 20428 
185,16367 35738 36853 2623 17389 
186,33173 32347 15743 17856 17445 
187,26197 23507 16766 6461 36853 
189,13726 17813 20745 30758 34517 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,6461 9913 18881 30142 30942 
205,12362 35738 616 2030 27726 
208,19419 29915 20620 14709 18546 
209,12492 19718 24834 18527 7010 
217,11366 8606 34699 34043 6461 
218,13473 2898 36087 21406 21691 
222,8549 10059 3216 27139 2561 
223,16825 20620 33173 35738 11906 
234,13530 27116 12866 21484 32743 
240,28701 9577 33475 19419 4020 
246,29915 26468 29268 17597 19858 
247,269 28431 35738 10334 15221 
250,10701 33603 32347 18546 23571 
257,3216 16845 2049 27569 35300 
258,3431 34718 29570 2041 24626 
268,33132 6753 30837 13228 22381 
269,19801 25939 8717 23949 34223 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,28688 33475 33173 15037 12997 
281,23949 31992 10546 34517 9913 
288,21874 36587 4034 18106 20101 
294,35300 15530 20620 32025 17813 
296,18741 35061 17644 25694 8809 
299,10059 11259 8093 1447 33173 
301,35801 27983 26630 24822 22999 
308,23188 2049 6461 25007 30863 
310,6699 31293 2127 28852 8763 
312,5054 14705 8425 9243 14381 
314,3841 15623 15280 26743 13726 
318,18976 30087 10469 29915 8205 
321,11665 9949 25616 15746 5729 
326,28347 3303 5778 10630 19248 
327,33173 7393 7984 2898 36087 
333,16825 3174 25329 6237 2553 
336,3841 31992 7368 7393 12867 
337,5806 21263 34365 25645 28053 
339,33475 2339 26951 25304 30367 
344,3431 14616 11781 27923 9913 
350,8549 33175 11366 6627 27971 
353,30414 25656 13502 17272 23213 
355,36140 30861 6461 17445 35247 
359,19838 26201 24291 7832 30925 
361,7274 32674 27131 33398 718 
364,25925 1192 12255 24853 6617 
365,9420 29848 15687 15086 22029 
374,32347 9913 36872 31992 2578 
375,17207 7393 25939 19752 31992 
376,19409 32334 19658 12491 33543 
378,12332 19271 32337 30653 33804 
379,3659 8506 31962 13303 27098 
380,31992 2143 27950 20745 17813 
383,24198 29521 36708 19318 2134 
385,16314 22007 10480 34421 19999 
388,14351 7967 31731 9723 33629 
390,32503 32347 29888 17648 26028 
393,8108 18170 17782 30668 26352 
399,33173 6871 19858 23145 32956 
401,16825 11012 1904 20965 17597 
405,30717 34826 3223 35480 23833 
412,579 2623 32347 1153 21691 
413,19478 2049 23282 35300 34517 
415,22767 21486 5861 23137 15016 
418,17041 30137 4261 33109 18616 
431,34351 30964 21913 25421 14616 
433,12866 1289 29848 30514 33543 
441,3366 33173 2523 28102 3431 
443,12354 22850 16367 6446 23571 
445,33500 23282 29915 33475 2068 
449,9577 8216 28650 23282 14375 
456,31992 23213 17813 28308 32081 
458,2911 6643 16825 13574 11259 
459,29448 25015 49 10758 30839 
463,3431 17463 15037 20620 28103 
466,12275 3662 22724 21959 25513 
477,17207 5227 3841 23188 15086 
478,28966 28203 14317 32382 33175 
481,6461 29005 28109 16153 6446 
487,2911 7393 19752 10701 17694 
488,26474 13846 2909 15894 2625 
491,5834 17833 15932 9949 24918 
494,32684 34084 17260 10615 10661 
503,36745 13886 18393 15596 24662 
504,36212 11397 11964 15732 4725 
508,35738 17676 33475 28701 31136 
509,16825 20620 29848 2143 34472 
510,15971 12997 24626 34313 28590 
511,17126 3272 9123 24263 1141 
516,17782 1397 22513 22323 10601 
524,15086 28308 3456 2041 18303 
527,15743 17648 1448 32019 27911 
531,34930 29833 15609 30494 13365 
532,28672 23833 35381 24372 31939 
541,34351 25939 36784 25624 2339 
542,35300 14616 34868 24834 26705 
543,36965 11946 28010 11031 13822 
549,12867 23213 8035 30964 7733 
551,23336 16803 11752 35579 18514 
559,19159 28021 19465 33136 24237 
565,7733 30142 14839 1338 12866 
568,13726 20620 1289 13473 29005 
569,17644 34517 25656 2041 24639 
572,25304 9913 6592 7733 6595 
582,27847 30391 2928 11066 4177 
589,27508 13376 32687 23833 32287 
590,23336 16803 16687 34602 14734 
592,7368 7733 6552 11871 27559 
595,35608 15373 5489 23336 34330 
599,3431 10701 2041 28103 19622 
