userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,269 35158 28083 5612 35738 
8,28966 29915 25363 28109 18016 
9,29915 28109 6461 28059 25363 
13,35300 20620 34351 10701 14709 
18,3412 23240 22482 3431 3366 
19,32347 10082 17389 22328 12354 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,6461 9735 33173 17152 2911 
33,28346 6539 10620 26098 28738 
35,23282 12866 353 31136 34517 
37,30453 8099 36757 20620 25020 
51,23282 31992 6552 3841 34517 
52,36248 36872 8669 9783 9097 
53,23282 4708 6461 18546 19752 
54,25196 19938 12697 16766 33614 
61,32287 19837 15221 5671 8519 
64,15743 12454 23081 34070 16766 
69,10546 28192 19259 8191 7368 
76,26197 16125 24834 27559 22850 
78,35300 6612 20495 26739 13943 
79,2731 16730 19752 26197 7733 
85,15042 25421 34351 26529 36248 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,34715 35300 22029 2041 5227 
95,17463 5292 16766 7368 35100 
100,16825 100 11872 3456 33376 
104,25363 9913 15306 30653 4833 
105,17782 35061 7197 13376 17644 
109,16272 20745 35224 9913 10546 
110,21717 3366 36853 34867 20620 
111,27660 6461 25363 24626 36599 
112,30053 14532 6725 33515 19072 
122,26197 30758 23030 7597 23949 
126,35454 21717 3366 2836 15971 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,33500 6391 24639 28067 12801 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,14616 19565 12313 11259 18016 
152,19642 6643 33603 13011 32347 
155,36827 32688 29811 29450 28895 
156,34715 35300 14616 32476 27131 
160,26285 21263 5806 33597 34903 
162,6871 16367 13390 9913 4327 
164,30173 6461 7733 28103 30846 
165,16184 28102 2523 26815 3958 
166,33500 2580 19211 17207 9415 
169,22533 22433 20796 33115 7937 
173,7824 8752 14616 25304 25629 
179,26332 14839 19752 12669 4851 
184,9787 10415 25020 20428 26349 
185,16367 35738 36853 17389 2623 
186,15743 34260 33686 11682 14174 
187,36853 23507 6461 35738 28102 
189,17813 30758 13726 8035 23145 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,21912 9913 6461 18881 28385 
205,12362 35738 616 2030 27726 
208,10446 8096 29915 8216 27569 
209,12492 19718 24834 18527 7010 
217,11366 8606 21912 12866 6461 
218,13473 25304 21691 58 28905 
222,8549 3216 26951 14780 22762 
223,16825 27569 34472 18354 33173 
234,21484 19242 18070 34210 17074 
240,28701 10446 31992 33475 9577 
246,19858 29268 26468 17597 16947 
247,269 28431 35738 10334 15221 
250,10701 18546 33603 23571 18303 
257,16845 3216 2049 27569 7393 
258,20428 25257 11128 33562 2523 
268,33132 6753 30837 13228 22381 
269,19801 23949 11707 8717 25939 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,28514 25693 22976 33475 33173 
281,5572 8205 33562 30087 10546 
288,21874 36587 4034 18106 20101 
294,35300 32025 15530 18200 23145 
296,18741 35061 17644 25694 8809 
299,26846 30982 5293 2523 1447 
301,35801 22102 36589 516 33707 
308,23188 6461 30863 25007 24639 
310,3212 6699 31293 2127 7537 
312,5054 14705 8425 9243 14381 
314,3841 15623 31992 20635 2561 
318,29915 25312 30087 10469 13502 
321,11665 9949 5729 25616 15746 
326,28347 3303 5778 10630 19248 
327,33173 2898 7393 36087 9607 
333,16825 3174 25329 6237 2553 
336,3841 27785 8519 34070 3431 
337,21263 5806 34365 11259 25645 
339,2339 23188 33475 36869 9577 
344,3431 9913 14616 11781 6343 
350,8549 6627 11366 33175 1289 
353,13502 25656 30414 17272 33788 
355,17445 6461 24178 36140 30861 
359,19838 7748 27016 27192 17748 
361,7274 32674 27131 33398 718 
364,25925 1192 12255 24853 6617 
365,29848 32164 6446 15687 5157 
374,2041 14988 12866 33818 18099 
375,19752 7597 6552 24021 7393 
376,19409 32334 19658 12491 33543 
378,18200 30653 36660 18344 16260 
379,3659 8506 31962 13303 27098 
380,31992 2143 27950 17813 33376 
383,24198 29521 36708 19318 2134 
385,16314 22007 10480 34421 19999 
388,7967 14351 21245 31731 9723 
390,32503 11128 24626 32347 29888 
393,8108 25304 28199 18170 2041 
399,30453 32038 12866 6552 24786 
401,28308 23030 2578 11906 16825 
405,30717 34826 3223 35480 23833 
412,35856 30835 29353 27478 27336 
413,2049 19478 20985 12867 19801 
415,22767 21486 5861 23137 15016 
418,17041 30137 4261 33109 18616 
431,34351 7788 14572 25421 14616 
433,15743 29848 12866 28303 21859 
441,7342 16339 3366 2523 3216 
443,12354 6446 21912 23571 4228 
445,33500 23282 33475 12866 6111 
449,9577 8216 35738 28650 17494 
456,31992 14636 23213 17813 16825 
458,6643 2911 16825 13574 11259 
459,29448 25015 49 30839 14197 
463,3431 15037 20620 21912 24034 
466,12275 3662 22724 21959 25513 
477,5227 3841 26454 8134 33598 
478,28966 28203 14317 32382 33175 
481,29005 6461 28109 16153 6446 
487,2911 7393 24021 19752 15530 
488,26474 13846 2909 15894 2625 
491,5834 17833 15932 9949 24918 
494,32684 34084 17260 10615 10661 
503,36745 13886 18393 15596 24662 
504,36212 11397 11964 15732 4725 
508,17676 16766 31136 2234 34891 
509,16825 20620 29848 34472 2143 
510,15971 12997 24626 34313 28590 
511,17126 3272 9123 24263 1141 
516,17782 1397 22513 22323 10601 
524,28308 15086 27526 27569 14169 
527,15743 17648 1448 32019 27911 
531,30494 13365 12339 11408 6166 
532,28672 23833 35381 24372 31939 
541,25939 34351 26197 28109 36784 
542,35300 19188 18506 12 23326 
543,36965 11946 28010 11031 13822 
549,8035 23213 7595 30846 30367 
551,23336 16803 11752 35579 18514 
559,19159 28021 19465 33136 24237 
565,7733 14839 30142 7393 1338 
568,13726 13473 29005 30595 30964 
569,34517 2041 25656 27526 18099 
572,7733 28634 25304 36853 8035 
582,27847 30391 2928 11066 4177 
589,27508 13376 32687 23833 32287 
590,23336 16803 16687 34602 14734 
592,7368 11871 54 27559 16628 
595,15373 35608 23336 34330 9768 
599,3431 19622 22338 25886 34517 
600,16632 1489 27071 3067 22061 
603,13886 33500 36501 30142 34223 
605,34868 29807 14101 26705 8519 
606,15743 5227 9607 8717 24834 
615,5945 8752 24974 15851 27674 
616,35738 22338 9913 20377 24880 
617,3366 21717 28701 2836 1904 
621,27271 6876 3433 12900 12609 
632,22224 20235 30050 4505 36049 
643,31830 20283 19377 10518 17881 
646,19705 1162 33939 12270 25735 
651,27163 22509 24019 571 9297 
652,30453 8108 4122 13701 14784 
653,24512 35662 30942 5227 2049 
654,8035 30846 3499 5279 30173 
658,32916 11420 13502 30645 35805 
659,5298 26270 1709 9125 35300 
663,1836 7342 27139 18016 25421 
665,23506 36951 11989 7114 34530 
673,20301 1320 25316 4635 6161 
675,34868 14101 26705 8519 6627 
680,24834 3216 33173 2049 15687 
681,18782 28303 28151 17925 4708 
684,7393 17982 30142 12669 34446 
691,2041 28688 19127 2049 6111 
696,19338 24470 19150 17240 1010 
700,25304 5225 26468 37132 29255 
705,28009 33546 26454 14599 10452 
706,17676 28154 8649 23044 6574 
710,4064 24880 36905 10446 11264 
712,17463 17597 26468 34517 6592 
713,37065 2623 21495 26621 29046 
715,22103 11008 24651 7483 28877 
717,15280 445 27971 13782 23188 
722,13701 21644 14669 18222 19242 
725,3077 20939 2339 11264 18546 
729,7150 5292 35874 19426 30925 
733,15530 6343 2309 32916 8013 
739,14616 16153 34891 2972 6461 
741,23282 34517 8216 5488 1745 
744,17132 11939 16446 24187 27591 
747,23282 7733 19752 30142 10658 
750,28199 3943 30278 10546 36583 
757,12866 9893 24716 11264 33818 
759,13502 2068 2049 15530 11570 
761,20495 13160 28199 26739 30019 
773,35071 11403 36872 26197 11862 
777,5834 25304 13502 31828 29255 
780,34517 2041 25421 4228 30964 
782,8759 9893 13726 2049 26332 
784,10200 31992 24109 28076 26500 
787,2623 26621 29046 31341 37065 
788,22762 31992 2464 2561 7759 
789,6773 28688 6595 12669 15743 
791,36583 35616 33297 30760 27389 
792,2829 17938 20947 24356 4618 
796,4105 34210 27612 19532 15973 
801,25624 24342 29915 579 24639 
806,34891 23777 17856 13574 19622 
808,36338 36935 11677 15818 5232 
810,13390 21146 27950 24488 13015 
813,12866 29888 32038 17597 1289 
816,27660 17207 1074 11160 3456 
820,35738 1289 36853 8216 36501 
826,32916 14101 33298 21661 25304 
827,17445 10200 14381 12866 35738 
828,30278 16825 4039 26340 35416 
831,1289 34903 14533 11366 4496 
833,33115 15623 32308 30508 24626 
834,6627 33500 26197 24834 14599 
835,2892 3853 35158 33143 36535 
839,27569 26332 16367 2041 28688 
850,18546 25421 14709 14616 34345 
852,11652 32025 13726 9913 6871 
853,7595 30595 18546 33500 8519 
854,19752 5054 6473 16090 28139 
857,25626 32937 12275 7901 24942 
862,24918 16641 19241 15764 2623 
867,17383 33475 2712 30019 30622 
869,12492 22433 36607 25645 33550 
873,31057 8146 36723 20389 34547 
874,18527 12569 1961 17602 664 
879,9012 30982 31992 23089 32916 
883,16272 28964 22002 16947 33562 
884,18383 18753 16768 33443 31103 
886,7274 8759 27131 33398 718 
888,22762 26951 18348 5993 8099 
890,20620 18099 3431 7444 10546 
899,19710 2854 30170 5540 36578 
900,35100 10514 18170 12866 33475 
905,8549 15971 6821 4475 25670 
