userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,269 28083 35158 5612 33603 
8,29915 28966 25363 18016 28109 
9,29915 28109 35381 28059 25363 
13,20620 34351 10701 14709 35300 
18,3431 18615 2041 7759 23240 
19,6627 12354 3431 17389 10082 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,6461 9735 33173 10701 13726 
33,28346 6539 10620 26098 28738 
35,12866 23282 353 31136 34517 
37,30453 6582 1518 8099 12873 
51,23282 3841 31992 34517 26332 
52,36248 36518 36872 8669 9783 
53,23282 17463 4708 6461 18546 
54,22029 16766 19938 10701 25196 
61,19837 15221 5671 24236 8519 
64,15743 5227 28701 12454 23081 
69,7801 10834 33997 34493 17913 
76,26197 12866 16125 24834 27559 
78,35300 6612 20495 26739 13943 
79,2731 26197 26454 6552 7733 
85,9577 4327 34351 7393 8096 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,35300 3456 34715 12354 34351 
95,12866 17463 1289 8519 2041 
100,16825 14076 100 3974 3456 
104,9913 25363 30653 20620 33475 
105,17782 35061 7197 13376 17644 
109,16272 20745 2143 35224 15280 
110,21717 3366 36853 34867 2911 
111,27660 6461 36599 30173 3431 
112,30053 14532 6725 33515 19072 
122,26197 30758 23030 29570 4020 
126,35454 3366 21717 2836 36853 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,33500 6391 23282 24639 28067 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,14616 18016 19565 11871 33500 
152,32347 13726 19642 25920 33603 
155,36827 32688 29811 29450 28895 
156,35300 3456 34715 14616 10701 
160,26285 5806 21263 33597 34903 
162,6871 16367 13390 9913 14046 
164,30173 6461 7733 28103 30846 
165,15971 16184 28102 32537 27085 
166,33500 17207 3431 2580 19211 
169,22533 22433 20796 33115 7937 
173,8519 25304 19837 14616 25629 
179,27660 7733 12866 26332 2911 
184,30453 25020 9787 20428 10415 
185,13494 31220 25952 25286 17731 
186,33173 32347 17856 15743 34517 
187,35738 36853 23507 6461 17389 
189,13726 20745 17813 30758 14553 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,21912 9913 6461 1289 34517 
205,12362 35738 616 2030 27726 
208,19419 29915 20620 8096 14709 
209,12492 19718 24834 18527 7010 
217,34699 36775 27911 3160 2912 
218,13473 2898 36087 21691 21406 
222,8549 10059 3216 27139 5292 
223,16825 20620 27569 33173 11906 
234,13530 32743 27116 12866 21484 
240,28701 33475 9577 19419 4020 
246,29915 19858 29268 26468 17597 
247,269 28431 35738 10334 15221 
250,10701 6595 32347 18546 18303 
257,16845 3216 2049 27569 23145 
258,3431 20428 2523 2041 28688 
268,33132 6753 30837 13228 22381 
269,19801 23949 25939 11707 8717 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,28514 25693 33475 33173 18200 
281,31992 3841 10546 5572 34517 
288,21874 36587 4034 18106 20101 
294,12669 35300 32025 18200 15530 
296,18741 35061 17644 25694 8809 
299,19419 18170 26846 8093 11259 
301,35801 22102 7780 36589 516 
308,23188 2049 6461 25007 15743 
310,3212 6699 31293 2127 7537 
312,5054 14705 8425 9243 14381 
314,3841 15623 15280 13726 25304 
318,23089 35381 18976 25715 25694 
321,11665 9949 5729 25616 15746 
326,28347 3303 5778 10630 19248 
327,33173 2898 7393 36087 9607 
333,16825 3174 25329 6237 2553 
336,3841 30964 31992 7368 3431 
337,21263 5806 34365 11259 25645 
339,2339 2049 33475 2041 23188 
344,3431 14616 9913 11781 2041 
350,8549 33175 11366 6627 1289 
353,30414 13502 25656 12354 33788 
355,17445 6461 36140 24178 30861 
359,19838 7748 27016 27192 17748 
361,7274 32674 27131 33398 718 
364,25925 1192 12255 24853 6617 
365,29848 20620 32777 23188 32164 
374,2049 9913 13726 14988 32347 
375,7393 17207 6552 19752 7597 
376,19409 32334 19658 12491 33543 
378,19271 12332 32337 12339 20985 
379,3659 8506 31962 13303 27098 
380,31992 2143 27950 17813 20745 
383,24198 29521 36708 19318 2134 
385,16314 22007 10480 34421 19999 
388,7967 14351 21245 31731 551 
390,32503 11128 24626 26028 32347 
393,8108 25304 2041 18170 17782 
399,30453 32038 33173 12866 6871 
401,28308 6343 20620 3431 16825 
405,30717 34826 3223 35480 23833 
412,35856 30835 29353 27478 27336 
413,2049 19478 11366 35300 23282 
415,22767 21486 5861 23137 15016 
418,17041 30137 4261 33109 18616 
431,34351 21913 30964 7788 14572 
433,12866 29848 15743 1289 30514 
441,3366 7342 28102 16339 33173 
443,12354 22850 16367 2041 34365 
445,33500 23282 29915 33475 2068 
449,9577 8216 35738 25920 28650 
456,14636 28308 31992 13733 8170 
458,6643 2911 16825 13574 11259 
459,29448 25015 49 30839 14197 
463,3431 17463 15037 20620 21912 
466,12275 3662 22724 21959 25513 
477,5227 17207 24034 16367 9893 
478,28966 28203 14317 32382 33175 
481,29005 6461 28109 16153 6446 
487,2911 7393 19752 10701 17694 
488,26474 13846 2909 15894 2625 
491,5834 17833 15932 9949 24918 
494,32684 34084 17260 10615 10661 
503,36745 13886 18393 15596 24662 
504,36212 11397 11964 15732 4725 
508,17676 16766 31136 35738 28701 
509,16825 20620 29848 6871 2143 
510,15971 12997 24626 34313 28590 
511,17126 3272 9123 24263 1141 
516,17782 1397 22513 22323 10601 
524,15086 2041 28308 3456 18303 
527,15743 17648 1448 32019 27911 
531,30494 13365 12339 11408 6166 
532,28672 23833 35381 24372 31939 
541,34351 25939 26197 28109 36784 
542,14616 35300 25421 23145 6446 
543,36965 11946 28010 11031 13822 
549,12867 8035 23213 7733 7595 
551,23336 16803 11752 35579 18514 
559,19159 28021 19465 33136 24237 
565,7733 14839 30142 7393 1338 
568,13726 13473 1289 20620 29005 
569,34517 17644 24639 25656 2041 
572,6592 7733 25304 28634 6595 
582,27847 30391 2928 11066 4177 
589,27508 13376 32687 23833 32287 
590,23336 16803 16687 34602 14734 
592,7368 11871 7733 54 27559 
595,15373 35608 23336 34330 9768 
599,3431 10701 28103 2041 34517 
600,16632 1489 27071 3067 22061 
603,33500 36872 13886 23030 34223 
605,35300 34868 29807 8519 26705 
606,15743 5227 9607 8717 24834 
615,5945 8752 24974 15851 27674 
616,35738 9913 30453 22338 3431 
617,3366 21717 2578 20620 36853 
621,27271 6876 3433 12900 12609 
632,22224 20235 30050 4505 36049 
643,31830 20283 19377 10518 17881 
646,19705 1162 33939 12270 25735 
651,27163 22509 24019 571 9297 
652,30453 24021 13701 8108 4122 
653,24512 5227 20620 23827 35662 
654,8035 30846 3499 5279 30173 
658,32916 11420 13502 30645 35805 
659,5298 26270 1709 9125 35300 
663,2041 1836 7342 27139 18016 
665,23506 36951 11989 7114 34530 
673,20301 1320 25316 4635 6161 
675,34868 8519 35300 2049 26705 
680,24834 3216 33173 2049 36872 
681,18782 28303 28151 17925 4708 
684,7393 13726 3431 19931 24786 
691,2041 29005 28688 2049 33173 
696,19338 24470 25976 35453 33152 
700,25304 5225 17207 26285 19696 
705,3674 14599 33500 28009 19752 
706,17676 28154 8649 23044 6574 
710,4064 24880 36905 10446 11264 
712,17463 12454 12997 12491 30964 
713,37065 2623 21495 26621 29046 
715,22103 11008 24651 7483 28877 
717,15280 27971 28966 4262 3431 
722,13701 21644 14669 18222 19242 
725,3077 2339 20939 11264 18546 
729,5292 7150 35874 29005 4851 
733,15530 9913 6343 2041 8519 
739,14616 34891 35300 6461 7597 
741,23282 34517 17756 5488 8216 
744,17132 11939 16446 24187 27591 
747,23282 7733 19752 30142 10658 
750,28199 3943 10546 30278 24639 
757,12866 9893 11264 24716 33818 
759,13502 2049 2068 13473 28966 
761,20495 13160 28199 26739 30019 
773,35071 11403 26197 11862 36872 
777,4796 20913 31828 16988 5834 
780,2041 34517 10059 17463 25421 
782,8759 9893 2049 2041 7393 
784,10200 31992 28076 33298 23188 
787,2623 26621 29046 31341 37065 
788,10059 22762 31992 2464 2561 
789,6773 6595 12669 28688 36501 
791,3943 36583 35616 33297 30760 
792,2829 17938 20947 24356 4618 
796,4105 34210 27612 19532 4735 
801,29915 21661 7393 13094 579 
806,34891 17856 9577 23777 13574 
808,36338 36935 11677 15818 5232 
810,13390 21146 27950 24488 13015 
813,12866 2041 29888 32038 17597 
816,27660 33266 19332 9913 17207 
820,1289 6627 29848 35738 10685 
826,14101 32916 26804 33298 21661 
827,17389 3366 17445 12866 10200 
828,33550 30278 26340 16825 4039 
831,11366 1289 30059 34903 5624 
833,33115 15623 2523 4105 33298 
834,24834 33500 14599 26197 28964 
835,2892 3853 35158 33143 36535 
839,27569 16367 2041 26332 28688 
850,18546 25421 14709 14616 30964 
852,10200 35738 9913 11652 13726 
853,7595 12866 30595 18546 33500 
854,19752 5054 6473 16090 9961 
857,25626 32937 12275 7901 24942 
862,21661 9735 16641 12642 24918 
867,17383 33475 2712 30019 30622 
869,33550 30964 12492 22433 2041 
873,31057 8146 36723 20389 34547 
874,18527 12569 1961 17602 664 
879,30982 5292 9012 13502 27132 
883,27810 36651 17981 16272 28964 
884,18383 18753 16768 33443 31103 
886,7274 8759 27131 33398 718 
888,35300 22762 27971 23326 34403 
890,20620 18099 22850 21913 3431 
899,19710 2854 30170 5540 36578 
900,12866 10514 26332 35100 1447 
905,8549 15971 6821 4475 25670 
907,26681 36248 2836 23030 15566 
908,6773 12768 5572 31069 22433 
909,33092 36186 579 15037 27569 
916,3943 28358 10470 30760 3779 
919,19419 14932 33500 17445 26743 
926,29318 26681 32956 32798 31687 
927,35300 30758 35454 19419 10701 
929,1289 8519 10200 3431 15983 
937,17380 22029 2049 10415 8549 
942,29005 30360 29255 16766 35604 
944,35300 15469 7581 1745 32130 
946,32916 32347 33475 6343 26743 
947,35948 21823 35247 33874 29054 
949,16087 17001 18970 13532 23204 
956,6343 21912 1977 15623 28688 
958,14791 14398 25893 31089 4925 
961,31924 6623 18069 27257 8424 
968,24178 23030 15599 3456 33598 
969,35486 11682 33686 2041 31213 
972,17445 1456 35390 20745 23978 
977,21739 12901 27270 3340 35690 
978,15743 17445 36872 33475 31274 
979,23188 2049 6461 25007 36128 
982,24034 22272 4327 36853 9913 
983,13365 465 27273 1305 9135 
987,30885 36416 22066 25286 17021 
990,31499 29781 18117 9684 1802 
1005,2602 33033 35314 23034 22502 
1010,8606 20407 13502 28303 21859 
1011,10059 18170 8549 1289 8099 
1014,28650 8216 36543 25886 35372 
1016,4836 9178 27776 21812 35805 
1017,27660 7393 17207 7733 13726 
1033,35300 10514 10200 21765 35158 
1043,19408 9105 33173 33475 1076 
1044,30453 25020 10231 35391 32332 
1046,8978 10021 28879 36967 13515 
1055,6871 8549 26951 26804 11259 
1060,9831 18480 34215 31255 28861 
1061,10701 17207 7393 21912 24639 
1067,2911 7733 13726 7393 14988 
1068,24056 3532 14052 14838 31743 
1076,15709 34324 16772 6278 15379 
1077,11259 3527 14572 15072 36543 
1084,6461 20620 9893 3431 14709 
1097,7342 13473 13878 25304 21249 
1102,28102 29915 18546 27923 8096 
1107,18546 14932 32956 14709 24123 
1110,31924 18069 13214 6623 13701 
1112,21912 26285 7393 36501 7368 
1113,33562 36960 30653 33173 30925 
1114,16399 18516 21556 26447 31090 
1117,7597 28254 15687 26743 11366 
1118,33500 1904 12866 8233 13473 
