userId,RecommendedItemIds
4,16451 652 28028 8077 26713 
5,6321 7166 24699 1060 32202 
8,30677 17821 31730 18558 13042 
9,2613 5465 6096 20195 20558 
13,4850 5086 5526 10176 11745 
18,19865 37072 8948 12533 16180 
19,18705 2460 32575 8147 21500 
23,16451 7421 28139 28028 1306 
26,11124 18479 36547 3783 8245 
29,36546 34619 16845 12422 21378 
31,2038 3588 28522 6127 8106 
32,5436 10978 27506 21892 20083 
33,15 85 292 482 574 
35,33509 10663 9796 20444 4515 
37,30785 31542 13027 14059 16421 
51,12594 33215 5434 5522 8516 
52,14605 15194 23267 27930 4044 
53,199 35378 214 462 2280 
54,32955 33897 25217 8527 5039 
61,9373 23709 5436 10978 27506 
64,5436 10978 27506 5434 5522 
69,10744 33838 16465 18705 21278 
76,26436 31711 16313 12456 5593 
78,21892 20083 19492 385 1548 
79,16845 5436 10978 27506 27335 
85,4044 5424 34573 14605 15194 
89,30785 31542 13027 14059 16421 
92,26070 29935 3259 15994 18351 
93,10663 33509 32137 20444 4515 
95,16451 28028 1306 652 26713 
100,2038 33387 29413 33143 36535 
104,13042 3482 34458 4837 30677 
105,33509 10663 9796 20444 4515 
109,2646 21228 16845 7116 11101 
110,11474 32958 15306 8905 29855 
111,16451 28028 652 1306 2049 
112,214 199 35378 2038 11592 
122,20955 16451 23949 2041 7961 
126,30785 31542 13027 14059 16421 
131,16845 24376 2143 32791 21679 
132,17555 2613 5465 6096 20195 
136,3655 9970 1346 5792 14013 
140,214 199 35378 2038 14333 
144,20083 21892 29207 11047 27499 
145,12621 9724 31248 9160 36727 
146,21892 20083 385 1548 3694 
151,3768 12841 8784 16899 24376 
152,30785 31542 13027 16421 21943 
155,15818 22199 30756 15233 1846 
156,10663 33509 9796 15192 15392 
160,538 1402 13763 14807 23341 
162,13042 3482 30677 33037 34458 
164,26436 31711 16313 7474 8211 
165,24376 26070 29935 19330 19372 
166,18314 33897 3203 25217 1746 
169,16451 29736 2049 1306 13726 
173,16451 28028 19345 26713 20955 
179,16451 28028 652 1306 23949 
184,29212 385 1548 3694 5732 
185,652 27294 8077 10607 12398 
186,16451 652 28028 8077 1306 
187,16845 24376 22003 29403 2143 
189,36546 27597 32968 9986 28762 
190,7019 5866 21796 19243 4044 
191,26436 31711 16313 5593 21934 
197,1464 1772 4561 4619 5546 
205,16451 652 28028 13468 8077 
208,5436 10978 27506 21732 22086 
209,21892 20083 385 1548 3694 
217,24376 27335 16845 21679 12841 
218,11124 18479 36547 23949 2041 
222,12594 29212 33215 24066 27242 
223,30154 17524 18198 17903 6217 
234,36377 30785 31542 21943 13027 
240,6321 7166 24699 1060 32202 
246,1060 32202 6321 7166 24699 
247,21892 1822 7321 16290 36233 
250,21189 4405 5430 19880 22355 
257,5434 5522 8516 12510 13698 
258,31833 1306 16845 12091 29824 
268,2287 18090 19926 34531 19430 
269,30785 31542 13027 14059 32259 
270,26436 31711 7474 8211 8772 
274,12028 21884 34685 6296 24019 
278,36546 27597 12422 27497 32968 
281,20083 385 1548 3694 5732 
288,9970 9269 1346 5792 14013 
294,11927 30722 3995 9867 17843 
296,12594 26744 3224 5434 5522 
299,12530 19977 29408 2764 31145 
301,34531 16451 28028 652 8077 
308,21892 20083 385 1548 3694 
310,26436 31711 16313 26146 7474 
312,5434 5522 8516 12510 13698 
314,5434 5522 8516 12510 13698 
318,1765 6321 7166 24699 13847 
321,2144 7689 29019 33214 5436 
326,3303 5778 10630 19248 20257 
327,13042 3482 23663 17442 36599 
333,18314 3203 33897 25217 1746 
336,12594 19568 20764 2248 3224 
337,11124 18479 36547 3783 8245 
339,2613 5465 6096 20195 20558 
344,7660 15627 25852 26151 26423 
350,4044 5424 34573 14605 15194 
353,3259 15482 12398 7577 24376 
355,190 291 449 468 572 
359,33198 17759 33757 31129 5411 
361,2144 7689 29019 33214 5434 
364,11124 18479 36547 7961 16141 
365,16451 2049 652 28028 1306 
374,5671 12370 31929 28687 25560 
375,29736 5434 5522 8516 12510 
376,12594 33215 5434 5522 8516 
378,11124 18479 36547 2691 10361 
379,6960 33415 28142 12635 7682 
380,12028 21884 34685 8227 12667 
383,20083 21892 385 1548 3694 
385,2287 18090 34531 19926 1395 
388,2038 4044 5424 34573 6641 
390,24376 32791 16845 31833 21679 
393,12594 33215 21943 27335 33048 
399,16451 29736 2049 27335 36869 
401,20964 4850 5086 5526 10176 
405,30785 31542 36377 13027 14059 
412,822 8167 8784 15662 15842 
413,16451 2041 1306 652 28028 
415,13833 18948 21614 26987 4201 
418,18167 30154 17524 20149 13172 
431,5436 10978 27506 9093 1822 
433,652 28028 35878 28139 7421 
441,16845 2143 24376 22003 11124 
443,11124 18479 36547 22983 33215 
445,10067 25988 3303 5778 10630 
449,1346 5792 31675 6814 8032 
456,23572 2038 3273 4885 13985 
458,27698 34774 31730 34147 20055 
459,3995 9867 17843 2613 5465 
463,13042 30677 3482 33037 34458 
466,3259 15482 9833 25421 1518 
477,16451 29736 1306 9833 652 
478,16845 22003 2143 29403 31833 
481,16451 2049 652 9928 13726 
487,31833 12091 29824 9833 1306 
488,28028 35878 16451 5905 26713 
491,466 1171 1324 1895 2362 
494,1346 5792 1161 18699 6814 
503,23949 2041 7961 16141 3505 
504,4044 5424 34573 6220 22649 
508,2143 9933 27335 16845 24376 
509,30154 17524 18198 17903 6217 
510,36546 27597 12422 32968 27497 
511,32791 1306 31833 20953 16845 
516,12594 33215 3224 26744 33048 
524,2049 34619 27597 1041 36546 
527,20083 21892 29207 11047 27499 
531,2038 33387 10926 21550 12969 
532,8784 2143 23 270 484 
541,30677 13042 3482 5740 34458 
542,3995 9867 17843 2613 5465 
543,4044 5424 34573 14605 15194 
549,14395 33509 16453 25441 6940 
551,9970 3655 1346 5792 31675 
559,34180 7399 4368 27536 32954 
565,18705 6206 2460 23752 8147 
568,29736 5436 10978 27506 3303 
569,18705 26881 11395 3081 32575 
572,31675 1346 5792 14972 18802 
582,23453 26438 5434 5522 8516 
589,19335 19735 25339 31340 19461 
590,12594 33215 5434 5522 8516 
592,12594 3224 26744 5434 5522 
595,16845 2143 8784 24376 9933 
599,30677 13042 17821 3482 34458 
600,19751 28065 35250 10547 17304 
