userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,2762 10 11472 7166 24699 
8,30279 31290 19171 15486 17067 
9,30287 26335 30445 28401 5425 
13,7130 15469 25365 6081 23137 
18,18741 33215 1448 1548 35626 
19,3465 33944 23786 20374 8399 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,25987 17924 28719 15112 22814 
33,28346 10620 6539 26098 28738 
35,36350 12866 2911 30071 457 
37,26550 11465 34168 35480 33473 
51,15973 20941 23336 24547 11752 
52,11557 37101 18717 31800 28294 
53,29833 25736 17925 34498 19663 
54,14841 29408 12530 19977 24299 
61,13782 7926 23338 228 15979 
64,15973 8216 33266 32287 31107 
69,2417 25910 17456 33838 19519 
76,36163 6942 11863 9477 17411 
78,35300 20495 6612 26739 13943 
79,10734 2134 21195 30744 36708 
85,876 17645 25506 27930 14605 
89,21157 30308 14029 26745 34829 
92,3164 19907 34752 31887 14879 
93,14738 33628 4554 23980 37056 
95,20799 12028 21884 34685 7876 
100,12535 11554 4223 20532 19267 
104,8867 11916 14246 20277 4523 
105,17782 35061 7197 13376 17644 
109,37065 2623 31341 26621 29046 
110,9973 7446 35786 5403 11474 
111,12866 2049 27009 24716 12398 
112,30053 14532 33515 6725 19072 
122,6521 6010 17163 12591 11381 
126,25967 24473 3501 2192 23355 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,21412 12102 9980 7402 12873 
140,22104 25304 7402 6693 9222 
144,14079 36496 1756 31272 34813 
145,31345 18439 20496 25777 13040 
146,21412 8394 12873 3398 17648 
151,12653 35775 30833 33707 25513 
152,15179 21534 35470 11371 14363 
155,10232 613 22908 24318 28860 
156,14738 33628 4554 23980 9243 
160,12693 29234 26115 32968 10320 
162,5946 22592 24999 13672 32430 
164,52 25740 4173 22850 30758 
165,8173 6478 6631 24295 33361 
166,1073 19721 11117 36174 10073 
169,22533 22433 20796 33115 30516 
173,3584 17781 16659 14988 13405 
179,31341 2561 37065 2623 1397 
184,34740 7114 19372 25142 19330 
185,473 29885 15959 12556 18301 
186,30265 31601 8336 26808 20522 
187,17397 17364 30116 35675 15747 
189,31992 29673 34258 22727 5390 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,35703 1696 34208 15214 1464 
205,12362 35738 616 27726 2030 
208,27847 33780 4177 30653 12628 
209,12492 19718 24834 18527 7010 
217,22347 9308 12004 32302 18528 
218,13069 23833 24256 1192 26332 
222,7031 35061 24479 30435 17782 
223,13173 16766 26485 14668 10261 
234,20941 8216 33266 11752 6068 
240,14583 17833 35281 18514 32829 
246,28536 29501 724 32943 9987 
247,269 28431 35738 10334 15221 
250,4140 33389 33473 22466 19087 
257,7274 32674 27131 33398 718 
258,32928 3899 18901 15870 14993 
268,33132 6753 30837 22381 13228 
269,32802 16546 31819 21649 5591 
270,34653 18522 12758 19351 29768 
274,21505 3077 12305 11458 12340 
278,15971 17853 36583 12997 17429 
281,1076 15743 34595 24547 1448 
288,21874 36587 4034 18106 20101 
