userId,RecommendedItemIds
4,32578 35061 98 30408 14572 
5,2762 10 11472 24699 6321 
8,8134 19171 23663 33443 30279 
9,30287 26335 30445 34390 16803 
13,15469 23137 7130 15016 6081 
18,18741 1448 33215 17644 24547 
19,23786 3465 33944 20374 20182 
23,33562 24488 4735 6821 22389 
26,13069 23833 24256 26332 28592 
29,24217 21284 1041 31496 19215 
31,19798 17126 10963 18803 14820 
32,25987 17924 28719 15112 22814 
33,28346 10620 6539 3665 28738 
35,12866 2911 36350 35300 30071 
37,26550 11465 34168 9793 27731 
51,20941 15973 23336 24547 11752 
52,11557 18717 37101 28294 31800 
53,29833 25736 17925 23282 4708 
54,14841 19977 12530 29408 24299 
61,13782 7926 228 23338 15979 
64,15973 8216 33266 32287 31107 
69,2417 1289 34223 7393 15599 
76,36163 6942 11863 9477 9577 
78,35300 6612 20495 26739 13943 
79,10734 2134 21195 30744 36708 
85,876 17645 25506 23267 14605 
89,21157 29452 30308 30785 29807 
92,19907 3164 34752 31887 10059 
93,14738 33628 4554 23980 37056 
95,17529 35486 4735 7876 7923 
100,12535 4223 11554 20532 17772 
104,11916 8867 14246 20277 4523 
105,17782 35061 7197 17644 13376 
109,26621 2623 37065 29046 31341 
110,9973 7446 5861 35786 30370 
111,12866 2049 24716 27009 12398 
112,30053 14532 19072 33515 6725 
122,18170 32403 9560 14264 6588 
126,25967 1363 24473 3501 34718 
131,27152 14648 19494 30603 23014 
132,14644 34081 3593 5352 2376 
136,12102 21412 9980 7402 3398 
140,22104 25304 24488 26020 6693 
144,22017 16714 34595 34813 22726 
145,4546 32130 10859 3681 31345 
146,21412 8394 12873 3398 17648 
151,12653 35775 33707 30833 25513 
152,23476 15280 14363 14148 26718 
155,613 10232 23167 28479 35243 
156,14738 33628 4554 23980 9243 
160,12693 10320 505 29234 26115 
162,5946 22592 24999 13672 16367 
164,52 22850 4173 25740 30758 
165,6631 25421 6478 8173 33361 
166,1073 33649 21827 20524 19721 
169,22533 22433 20796 30516 33115 
173,17781 16659 3584 14988 13405 
179,2561 31341 2623 37065 1397 
184,34740 7114 10262 35856 17644 
185,473 29885 15959 12556 18301 
186,30265 31601 26808 8336 23949 
187,19987 17397 33014 29219 7392 
189,31992 29673 34258 22727 13886 
190,75 12384 6821 36387 21606 
191,33500 18168 21877 13397 12431 
197,15214 34208 1696 35703 7393 
205,35738 12362 616 27726 2030 
208,27847 33780 4177 30653 12628 
209,24834 12492 19718 16411 36163 
217,22347 9308 12004 32302 33475 
218,13069 23833 24256 26332 1192 
222,7031 18741 24479 35061 17782 
223,16766 13173 26485 14668 10261 
234,20941 8216 33266 11752 6068 
240,14583 17833 35281 18514 32829 
246,28536 29501 724 9987 32943 
247,269 35738 28431 10334 15221 
250,33473 33389 4140 19087 14789 
257,32674 7274 27131 33398 718 
258,3899 32928 18901 4796 15870 
268,23516 1853 27358 12669 33132 
269,32802 21649 16546 31819 1728 
270,18522 34653 12758 19351 29768 
274,21505 29221 3077 12305 12340 
278,15971 12997 17853 36583 17429 
281,1076 34595 15743 24547 1448 
288,36587 18106 21874 4034 20101 
294,19127 22976 19241 35473 18586 
296,18741 35061 17644 25694 33213 
299,34715 12446 18955 21336 19929 
301,25209 32347 3850 36155 31825 
308,18200 17383 29916 23188 31267 
310,17321 17794 10944 27150 34224 
312,5054 14705 8425 14381 9243 
314,30453 32903 7489 24028 7076 
318,17862 21403 27460 10431 4038 
321,26736 29642 5352 27477 5164 
326,28347 33925 3992 12146 18217 
327,30261 17301 36865 35705 8810 
333,16825 3174 25329 6237 2553 
336,7918 12594 30087 24786 17893 
337,11107 12426 14111 18303 4253 
339,29046 31341 21495 2623 1397 
344,6442 16001 14538 33708 21304 
350,30616 252 21796 22796 25307 
353,12275 3662 22724 3497 27650 
355,23843 18755 13963 12734 18437 
359,17759 33917 31129 5622 30994 
361,7274 32674 27131 33398 718 
364,25925 1192 25467 12255 24853 
365,25421 14227 8606 15994 18351 
374,20941 15973 33266 28946 2049 
375,2911 14634 19987 35300 18849 
376,19409 33543 32334 19658 12491 
378,18063 27753 17011 17756 10278 
379,3659 15080 31962 8506 7597 
380,36843 26585 9349 8476 12028 
383,24198 29521 1826 36708 2134 
385,22007 16314 30370 10480 34421 
388,36872 8001 18497 3356 34365 
390,14125 25759 11963 21725 5352 
393,17936 366 2442 5644 34473 
399,15973 8216 10685 13886 21818 
401,4976 34715 13739 11745 18879 
405,30717 34826 20574 15566 3223 
412,473 29885 15959 12556 36194 
413,33562 24488 2041 34090 6821 
415,5861 23137 15016 9106 22767 
418,30137 17041 4261 24487 27463 
431,19426 35738 16803 2034 269 
433,11758 25938 32287 31107 29221 
441,21799 1141 17272 36663 23273 
443,15973 8216 33266 33215 10478 
445,21495 1397 2623 26621 29046 
449,29848 14869 4394 28127 1611 
456,10514 8922 6080 3050 34509 
458,25967 4410 1107 34718 33510 
459,14197 32916 29682 22552 18311 
463,27569 33037 5279 17510 32802 
466,12275 3662 27650 30924 22724 
477,35300 1289 19426 19929 7393 
478,28966 28203 33175 14317 32382 
481,12347 11868 26147 28761 26842 
487,7811 25936 35158 22186 24470 
488,26474 15894 2909 13846 2625 
491,5834 17833 15932 9949 24918 
494,32684 34084 17260 10615 10661 
503,36745 13886 2464 12866 33137 
504,36212 15732 11397 27246 11964 
508,17676 23036 6320 5138 28430 
509,19597 20139 6828 7756 15735 
510,15971 12997 24626 34313 28590 
511,9123 17126 24263 3272 22776 
516,5578 17782 33215 12594 17644 
524,22272 9123 29341 17126 34567 
527,15743 17648 32019 1448 27911 
531,21336 6637 14533 16721 4655 
532,23833 28672 35381 24372 31939 
541,30059 13668 28036 26011 21083 
542,14738 33628 4554 23980 17815 
543,36965 7966 11946 28707 10169 
549,28102 8630 28950 52 16786 
551,23336 16803 35579 11752 18514 
559,19159 19465 28021 12528 33136 
565,8085 23094 10108 22338 2595 
568,2068 6446 6263 30453 2623 
569,31341 29046 17207 2623 2561 
572,4475 36889 11758 37132 31076 
582,27847 30391 2928 11066 4177 
589,27508 13376 32687 23833 32287 
590,23336 16803 34602 16687 14734 
592,24786 9164 15687 30087 25958 
595,16890 34930 6903 29551 31701 
599,8134 17925 28151 30677 13042 
600,16632 1489 27071 26197 34790 
603,28753 3456 9045 20256 14839 
605,15973 8216 36723 19565 33266 
606,14372 12264 31107 32287 7592 
615,5945 8752 24974 27871 27674 
616,19887 2404 20398 31450 5360 
617,10859 26338 12211 18648 2125 
621,12900 27271 6876 3433 20356 
632,27776 22224 20235 36049 24880 
643,31830 20283 19377 17881 10518 
646,269 19705 6155 12270 33664 
651,22509 571 27163 24019 34533 
652,4228 25938 4122 24488 18967 
653,25626 26962 31648 22634 32937 
654,11543 14815 8832 25213 9627 
658,32916 11420 13502 12866 35805 
659,5298 26270 1709 35300 9125 
663,37065 29046 31341 21495 2561 
665,23506 36951 33598 7114 11989 
673,26197 11168 15149 21957 35836 
675,2280 34798 19929 14550 15944 
680,32674 7274 12491 33398 27131 
681,18782 28303 28151 17925 4708 
684,17011 27753 10278 17756 17383 
691,6821 36204 14797 4735 24488 
696,19987 30360 17210 14738 16505 
700,10170 9420 18170 37132 35129 
705,3584 22029 6258 13920 36204 
706,17676 8649 28154 25823 23044 
710,4064 24880 11264 36905 10446 
712,1076 17648 32019 1448 37065 
713,37065 21495 26621 2623 29046 
715,22103 24651 11008 28338 7483 
717,25421 19597 33672 184 25248 
722,14572 12264 35072 15500 25656 
725,6476 14414 21952 19740 19163 
729,22338 18955 1102 18879 13739 
733,22338 7048 11745 4850 13739 
739,19516 2146 2047 36350 3077 
741,15743 17648 17383 12281 18586 
744,33649 1053 17132 11939 14278 
747,8216 20941 15973 10179 16288 
750,269 6111 27132 13270 18970 
757,31076 8236 35585 26657 21433 
759,33755 35997 15356 14458 9980 
761,36872 20495 28199 13160 26739 
773,32690 29905 2003 26953 15111 
777,36230 34406 36524 4393 29915 
780,24547 29219 19907 17472 35065 
782,2049 9233 13651 11366 34281 
784,20941 15973 366 7147 17605 
787,2623 37065 26621 29046 31341 
788,19529 18741 35345 17782 17597 
789,9902 30159 12102 21412 24932 
791,25421 30266 12088 26117 1289 
792,2829 1746 17938 4618 20947 
796,6623 17991 5488 31924 33660 
801,1836 19891 31484 20745 30234 
806,10491 12941 18740 22442 22365 
808,36338 36935 11677 15818 5232 
810,10859 36998 27769 1904 13547 
813,25736 5494 14705 5054 17925 
816,25860 33509 10663 3435 15192 
820,35300 22086 19929 5211 31341 
826,10040 6459 7951 30012 36691 
827,25421 33562 35738 6821 3077 
828,15885 19237 19127 22976 22666 
831,4373 15534 18480 13267 19459 
833,34462 22770 8660 21879 9963 
834,37132 10488 35300 3216 2148 
835,27660 35158 2892 35317 3853 
