userId,RecommendedItemIds
4,25656 23217 32578 35061 30408 
5,17815 2164 20252 3100 33755 
8,23431 10028 14976 4244 10766 
9,31444 3674 30287 26335 30445 
13,9855 5861 15469 23137 7130 
18,17782 17107 18741 1448 32019 
19,11366 19188 16397 24063 12750 
23,36204 33562 24488 4735 6821 
26,9607 13069 23833 24256 26332 
29,14322 24217 21284 1041 31496 
31,9123 19798 17126 18803 10963 
32,30653 29308 2404 25987 17924 
33,19370 3665 10620 28346 6539 
35,19987 26585 5366 12866 34141 
37,33282 36409 11465 26550 9793 
51,8216 33266 20941 15973 17207 
52,11012 34713 7859 11557 7164 
53,10701 36872 4359 23160 29833 
54,9535 11645 12586 15614 14841 
61,11717 3680 18081 7083 13782 
64,15086 20941 15973 9894 8216 
69,18105 10245 18186 27288 1289 
76,19020 21368 36163 14583 6942 
78,28199 35300 6612 20495 26739 
79,10452 10734 2134 21195 16716 
85,15687 8156 33780 876 17645 
89,11624 21157 29452 30308 30785 
92,17472 19907 3164 10059 34752 
93,30360 14738 562 33628 4554 
95,6343 37132 6112 27116 33562 
100,8013 30796 12535 4223 11554 
104,6461 35258 8371 8863 11984 
105,18741 2339 17782 35061 17644 
109,35390 28568 13782 21495 26621 
110,23137 28102 34979 9973 7446 
111,2911 20620 8035 35300 12866 
112,36872 30053 19072 14532 6725 
122,25645 25304 8599 11109 5926 
126,19642 14351 36168 28102 21996 
131,19040 2541 27152 14648 12689 
132,26596 14644 34081 5352 3593 
136,8394 14932 12102 21412 9980 
140,32636 22104 25304 24488 33546 
144,19935 22017 16714 34595 1397 
145,32269 4546 32130 10859 3681 
146,12102 21412 8394 12873 3398 
151,21304 29807 228 7076 13290 
152,15280 24760 25304 2523 14001 
155,613 1043 35243 23167 28479 
156,30360 17815 14738 27352 33628 
160,7824 24226 12693 10320 505 
162,8205 5279 34484 5946 22592 
164,8035 29805 52 22850 30758 
165,31101 12596 25421 6631 6478 
166,11750 2883 33649 1073 20524 
169,28701 31268 30440 22533 22433 
173,418 15452 26335 6855 31825 
179,26621 21495 2561 29046 31341 
184,24479 22803 20777 14579 16219 
185,22312 30633 18653 473 9534 
186,13574 2041 30265 10082 31601 
187,3066 15034 14372 14608 30533 
189,21818 31992 8548 19243 29673 
190,20933 20264 75 12384 6821 
191,14455 15636 33500 18168 12431 
197,7393 14076 34715 22338 18955 
205,269 35738 12362 616 26491 
208,34351 7903 27847 33780 4177 
209,664 24834 4072 12492 19718 
217,26500 31267 33475 22347 18200 
218,9607 17763 13069 23833 24256 
222,17644 7759 7031 18741 24479 
223,4039 2578 15687 16766 13173 
234,15917 20941 15973 13701 8216 
240,33603 36163 14583 24918 17833 
246,5293 35071 1575 19211 13965 
247,12362 269 35738 28431 15221 
250,6708 13021 14789 4140 33389 
257,8759 32674 7274 7287 27131 
258,5293 34043 5785 4386 3899 
268,27413 23516 1853 12669 27358 
269,19478 29515 32802 21649 16546 
270,3527 34653 18522 12758 19351 
274,9420 21505 29221 12305 3077 
278,24639 24291 15971 12997 36583 
281,17648 1076 14020 17207 34595 
288,5729 36665 36587 18106 21874 
294,30898 25920 21765 19127 22976 
296,17782 18741 35061 17644 25694 
299,36153 30819 31686 32743 34715 
301,32404 5331 25209 32347 3850 
308,33475 18200 17383 29916 23188 
310,23240 8035 36957 17321 17794 
312,10200 5054 14705 14381 8425 
314,21913 16184 15983 11988 30453 
318,27904 35874 17862 21403 27460 
321,603 7584 26736 2924 29642 
326,1826 33925 28347 3992 30294 
327,24763 21691 4822 8093 35714 
333,9415 16825 3174 25329 6237 
336,23089 12180 14734 28030 7918 
337,3670 2523 19824 22551 5601 
339,26621 29046 2561 31341 21495 
344,32265 12653 6442 29730 16001 
350,23008 21037 30616 29124 16586 
353,18645 15280 12275 3662 22724 
355,33532 23843 18755 13963 12734 
359,19130 21592 33418 30994 5622 
361,8759 7274 32674 27131 33398 
364,7150 18001 25925 1192 25467 
365,25421 8606 26983 14227 35738 
374,33173 11264 34223 8216 15996 
375,12866 2911 17389 22328 14634 
376,31254 19409 33543 32334 19658 
378,13220 27753 18063 17011 14648 
379,31291 15080 3659 31962 7597 
380,9420 21505 12305 36350 36492 
383,12077 24198 29521 1826 2134 
385,13473 22007 30370 16314 10480 
388,29577 9641 36872 30832 8001 
390,34043 33755 14125 5352 11963 
393,21081 17936 10059 366 2442 
399,31992 20941 15973 8216 10685 
401,34715 22338 15469 4976 1102 
405,22570 30717 15566 20574 12354 
412,22312 473 22960 29885 15959 
413,36204 25624 24488 33562 23949 
415,14387 5861 23137 15016 9106 
418,30137 1953 17041 24487 4261 
431,12362 19426 23336 29577 35738 
433,4228 6314 11758 15086 21157 
441,28688 28431 25624 25982 24512 
