userId,RecommendedItemIds
4,32578 17380 28102 32117 18741 
5,22211 15743 1076 18787 2464 
8,13473 25421 20407 28102 36853 
9,30287 21867 34390 8216 34602 
13,15469 23137 22870 15016 9913 
18,1448 18741 34595 16425 4475 
19,28905 20182 25696 32224 27507 
23,33562 24488 4735 6821 33443 
26,13069 23833 26332 22976 26576 
29,29261 33562 27686 21613 17821 
31,19798 18803 19748 10963 34276 
32,19022 28634 9735 33780 25987 
33,3665 9893 14387 6189 31963 
35,12866 2911 35300 35105 30360 
37,26346 32083 22776 24488 9793 
51,20941 15973 24639 16484 25920 
52,28294 35738 11557 1076 28688 
53,35300 23282 4708 26465 18016 
54,34715 7393 33092 31836 8013 
61,13782 9476 28964 24596 32287 
64,15973 8216 33780 23507 5227 
69,25694 1289 33266 7393 33788 
76,36163 9577 3077 6773 33443 
78,35300 22029 21459 11237 27132 
79,10734 2134 21195 29184 366 
85,876 2578 6951 3496 30717 
89,21157 26804 34789 29452 5360 
92,19907 10059 6017 33562 27885 
93,14738 14616 4554 4922 3456 
95,6821 8205 1289 17529 19426 
100,6343 30278 17772 8519 17936 
104,27559 36957 19926 1363 12669 
105,17782 7759 10059 28964 29303 
109,2561 26621 8549 2623 37065 
110,13750 5861 6461 31633 26686 
111,12866 2049 30653 20955 22029 
112,6595 36109 22029 35300 27322 
122,2339 13094 18170 15280 21912 
126,1363 20965 9404 2578 21406 
131,27152 14648 18389 6452 14800 
132,14644 5352 30925 17272 2990 
136,12102 21412 32019 5900 22976 
140,25304 22104 24488 18717 31056 
144,22017 30616 16714 34595 1397 
145,4546 32130 10859 3681 25666 
146,8394 21412 5900 4228 22976 
151,15983 30964 15280 21913 24263 
152,25304 2523 15280 24488 30964 
155,35243 613 8134 23167 25851 
156,14738 4922 35300 4554 32916 
160,26285 12584 4244 10119 4703 
162,27569 16367 15037 25421 35738 
164,22850 269 52 13301 33562 
165,25421 6631 11724 30718 505 
166,33649 20524 26484 30846 21827 
169,22433 32375 30516 34351 35001 
173,29848 8233 11579 13405 17781 
179,2561 2623 31341 37065 1397 
184,7114 10262 27409 14629 19907 
185,15119 36853 473 17973 24594 
186,23949 26808 8170 36784 13726 
187,35300 2041 34517 25421 34351 
189,31992 17149 28199 6111 29824 
190,12384 75 6821 6343 21606 
191,33500 15449 18168 32957 6703 
197,34715 7393 25694 12669 14101 
205,35738 12362 8035 1456 6263 
208,22029 27847 31992 12354 2041 
209,24834 12492 16411 36163 19718 
217,33475 18200 21187 12656 14940 
218,13069 23833 22976 20262 26576 
222,18741 17380 2339 26951 10059 
223,16766 30653 11366 19642 20985 
234,20941 8216 36982 13530 19907 
240,418 25925 30821 2049 20852 
246,33443 11264 35738 14630 36306 
247,269 35738 28431 6627 5292 
250,15280 14789 27451 7928 26576 
257,32674 7274 2464 23507 13498 
258,33443 3899 34708 11264 36934 
268,23516 1853 12669 27358 34365 
269,16367 22272 12029 20757 8394 
270,14572 13502 35367 6821 2712 
274,33562 29221 30595 12305 24639 
278,12997 15971 24626 10469 5578 
281,1076 34595 15743 1873 1448 
288,36587 18106 8184 29736 15221 
294,19127 4328 12897 16766 2041 
296,18741 15973 4475 16425 17107 
299,34715 25694 21336 14076 14101 
301,25209 32347 31825 3850 31992 
308,18200 17383 2108 23188 4708 
310,14351 52 31992 20965 31069 
312,14381 5054 23188 14705 4554 
314,17936 17152 228 6862 6463 
318,17862 15452 7368 19127 30982 
321,26736 29642 5352 5164 34223 
326,30616 33925 30294 9607 16766 
327,30261 20234 5488 8249 16367 
333,16825 6461 11486 26484 9404 
336,21412 30942 16345 36056 18543 
337,14932 19837 6132 11107 22628 
339,21495 29046 31341 2623 1397 
344,6442 20635 6461 9855 27923 
350,30616 33562 18405 11558 27526 
353,36955 24488 31924 12354 17152 
