userId,RecommendedItemIds
4,25656 23217 32578 17380 28102 
5,17815 2164 22211 15743 33755 
8,13473 25421 20407 28102 36853 
9,3674 31444 30287 21867 34390 
13,9855 15469 5861 23137 22870 
18,17782 1448 32019 18741 17107 
19,11366 26454 19188 19036 28905 
23,36204 33562 24488 4735 6821 
26,9607 13069 23833 26332 22976 
29,14322 29261 33562 27686 21613 
31,9123 19798 18803 19748 10963 
32,30653 29308 19022 28634 9735 
33,19370 3665 9893 14387 6189 
35,19987 12866 26585 5366 2911 
37,33282 26346 32083 22776 24488 
51,8216 33266 20941 17207 15973 
52,11012 34713 28294 35738 11557 
53,10701 36872 35300 23282 4708 
54,9535 34715 7393 33092 31836 
61,11717 3680 13782 9476 28964 
64,15086 20941 15973 9894 8216 
69,25694 1289 33266 7393 33788 
76,19020 36163 9577 3077 6773 
78,28199 35300 22029 21459 11237 
79,10452 10734 2134 21195 16716 
85,15687 8156 876 33780 2578 
89,11624 21157 26804 34789 29452 
92,19907 17472 10059 6017 33562 
93,30360 14738 562 14616 4554 
95,6343 33562 6821 27116 37132 
100,8013 30796 6343 30278 17772 
104,6461 27559 36957 11984 19926 
105,18741 2339 17782 7759 10059 
109,35390 13782 21495 2561 28568 
110,23137 28102 34979 13750 5861 
111,20620 8035 2911 12866 35300 
112,36872 6595 36109 22029 35300 
122,25304 2339 13094 8599 5926 
126,19642 14351 36168 21996 1363 
131,19040 27152 14648 2541 18389 
132,26596 14644 5352 30925 17272 
136,8394 12102 14932 21412 32019 
140,25304 32636 22104 24488 18717 
144,22017 30616 16714 34595 1397 
145,4546 32130 10859 3681 25666 
146,12102 8394 21412 5900 4228 
151,21304 29807 228 7076 15983 
152,25304 2523 15280 24488 30964 
155,35243 613 8134 23167 25851 
156,30360 17815 14738 27352 4922 
160,7824 24226 26285 12584 4244 
162,8205 5279 27569 16367 15037 
164,8035 29805 22850 269 52 
165,12596 31101 25421 6631 11724 
166,11750 33649 20524 26484 30846 
169,28701 30440 31268 22433 32375 
173,418 15452 31825 11966 6855 
179,26621 21495 2561 29046 2623 
184,24479 20777 7114 22803 10262 
185,22312 30633 15119 36853 473 
186,13574 2041 23949 26808 10082 
187,35300 2041 34517 25421 34351 
189,21818 31992 8548 17149 28199 
190,20933 20264 12384 75 6821 
191,33500 14455 15449 18168 15636 
197,34715 7393 14076 25694 12669 
205,269 35738 12362 8035 1456 
208,34351 7903 22029 27847 31992 
209,24834 664 12492 16411 36163 
217,26500 33475 18200 21187 12656 
218,9607 13069 23833 22976 20262 
222,17644 7759 18741 17380 2339 
223,4039 2578 15687 16766 30717 
234,15917 20941 15973 4735 30453 
240,33603 36163 418 24918 25925 
246,5293 35071 33443 19211 11264 
247,12362 269 35738 28431 6627 
250,6708 15280 14789 27451 7928 
257,8759 32674 7274 2464 7287 
258,5293 34043 4386 33443 3899 
268,27413 23516 1853 12669 27358 
269,19478 16367 22272 12029 20757 
270,3527 14572 13502 35367 6821 
274,9420 33562 29221 30595 12305 
278,24639 12997 15971 24626 10469 
281,17648 1076 17207 34595 14020 
288,5729 36665 36587 18106 8184 
294,30898 21765 25920 19127 4328 
296,18741 17782 15973 4475 16425 
299,34715 31686 25694 21336 14076 
301,32404 25209 32347 31825 3850 
308,33475 18200 17383 2108 23188 
310,23240 8035 36957 14351 52 
312,10200 14381 5054 23188 14705 
314,21913 16184 15983 17936 17152 
318,27904 35874 17862 15452 7368 
321,603 26736 7584 33500 29642 
326,1826 30616 33925 30294 9607 
327,24763 21691 35714 19224 30261 
333,9415 16825 6461 11486 26484 
336,23089 12180 14734 21412 30942 
337,3670 2523 14932 19837 6132 
339,26621 2561 21495 29046 31341 
344,32265 12653 6442 20635 6461 
350,23008 30616 21037 33562 29124 
353,15280 18645 36955 24488 31924 
