userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,2762 269 10 11472 28083 
8,30279 29915 31290 19171 28966 
9,30287 29915 26335 30445 28109 
13,7130 20620 15469 25365 34351 
18,18741 3431 33215 1448 18615 
19,3465 6627 33944 23786 12354 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,25987 6461 17924 28719 9735 
33,28346 6539 10620 26098 28738 
35,36350 2911 23282 12866 30071 
37,26550 30453 11465 34168 6582 
51,15973 23282 20941 23336 3841 
52,11557 36248 37101 18717 36518 
53,29833 25736 17925 17463 34498 
54,14841 22029 12530 19977 16766 
61,13782 19837 7926 228 15221 
64,15743 8216 5227 32287 31107 
69,2417 7801 25910 17456 10834 
76,36163 26197 6942 11863 12866 
78,35300 6612 20495 26739 13943 
79,10734 2731 2134 21195 26197 
85,876 9577 17645 25506 4327 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,14738 35300 4554 3456 23980 
95,20799 12866 12028 21884 17463 
100,12535 16825 4223 11554 14076 
104,8867 9913 11916 14246 25363 
105,17782 35061 7197 13376 17644 
109,2623 16272 26621 29046 20745 
110,9973 21717 7446 35786 3366 
111,12866 27660 27009 6461 24716 
112,30053 14532 6725 33515 19072 
122,2455 26197 6010 6521 30758 
126,25967 35454 24473 3501 3366 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,12102 33500 21412 9980 6391 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,12653 14616 35775 30833 18016 
152,72 32347 5280 5457 13726 
155,10232 36827 613 22908 32688 
156,14738 35300 4554 3456 23980 
160,12693 26285 26115 29234 5806 
162,5946 6871 22592 24999 13672 
164,52 30173 25740 4173 6461 
165,8173 15971 6478 6631 16184 
166,1073 33500 19721 11117 17207 
169,22533 22433 20796 33115 7937 
173,3584 8519 17781 25304 14988 
179,31341 27660 2561 2623 7733 
184,34740 30453 7114 19330 25020 
185,473 13494 29885 15959 31220 
186,30265 33173 31601 8336 32347 
187,17397 35738 17364 30116 36853 
189,13726 29673 34258 20745 22727 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,1696 21912 15214 34208 9913 
205,12362 35738 616 2030 27726 
208,27847 19419 33780 4177 29915 
209,12492 19718 24834 18527 7010 
217,9308 34699 22347 12004 36775 
218,13473 23833 24256 2898 1192 
222,7031 8549 35061 24479 10059 
223,13173 16825 16766 26485 20620 
234,20941 13530 8216 32743 11752 
240,14583 28701 17833 35281 33475 
246,28536 29915 29501 724 19858 
247,269 28431 35738 10334 15221 
250,4140 10701 33389 33473 6595 
257,16845 32674 27131 3216 33398 
258,32928 3431 3899 18901 20428 
268,33132 6753 30837 13228 22381 
269,32802 19801 16546 21649 23949 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,15971 28514 17853 36583 25693 
