userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,12028 21884 34685 19330 19372 
8,1304 14351 16271 16826 17067 
9,30287 16687 10059 10202 16965 
13,13098 15266 1247 33838 4455 
18,33215 367 1174 4120 10490 
19,3465 23786 13575 33944 35900 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,15973 20941 33266 20398 33215 
33,28346 6539 10620 26098 28738 
35,15973 20941 33266 15971 12028 
37,2544 13780 5373 30596 28337 
51,15973 20941 11752 33215 23336 
52,11557 4850 5086 5526 10176 
53,15973 20941 33266 33215 16399 
54,15973 20941 6641 30008 37066 
61,228 35090 11919 11707 4037 
64,15973 33266 33215 16478 11752 
69,11836 22378 25456 33838 15616 
76,31601 35294 13574 30265 19035 
78,35300 6612 20495 26739 13943 
79,7309 15973 20941 28862 33266 
85,5866 21796 8376 21388 31484 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,8877 35294 12028 21884 34685 
95,12028 21884 34685 10123 11806 
100,36377 15930 21561 1304 14351 
104,15971 15973 20941 33266 12997 
105,17782 35061 7197 13376 17644 
109,15973 20941 33266 35294 11717 
110,33166 2879 4730 10192 20295 
111,33562 11707 27009 15973 20941 
112,30053 14532 6725 33515 19072 
122,9560 2157 4357 7586 13017 
126,25967 35027 2928 16330 31879 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,22002 8065 13468 14532 20878 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,35775 6155 15221 12997 15611 
152,72 5280 5457 9489 10465 
155,10232 613 22908 24318 28860 
156,19427 19523 538 1402 13763 
160,15973 20941 16758 33266 12102 
162,5946 22592 13672 32430 4966 
164,16271 16826 26554 21814 4995 
165,29665 4164 8560 8423 36029 
166,18897 1073 27348 3147 4850 
169,22533 22433 20796 33115 7937 
173,2882 6365 7250 13403 17781 
179,31341 2561 2623 37065 12028 
184,32721 15973 20941 33266 12028 
185,24819 6666 13594 13676 473 
186,8336 26808 30265 3972 31601 
187,3392 13676 8336 2157 4357 
189,36855 6117 26360 12305 12028 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,1696 15214 34208 35703 7660 
205,12362 35738 616 2030 27726 
208,2928 15973 20941 33266 27358 
209,12492 19718 24834 18527 7010 
217,13130 35294 32606 12624 22549 
218,35294 23930 23833 15266 37096 
222,12997 15971 35294 25049 4064 
223,15971 12997 26473 21814 13676 
234,20941 33266 17893 19330 19372 
240,8708 33215 15973 20941 33266 
246,13608 21217 33060 17053 29099 
247,269 28431 35738 10334 15221 
250,34967 25049 32221 15687 2328 
257,7274 32674 26473 19123 28322 
258,15971 5352 35850 12997 12028 
268,33132 6753 30837 13228 22381 
269,24626 7451 12019 15973 20941 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,20110 15971 15973 20941 12997 
281,15973 20941 27753 33266 17011 
288,21874 36587 4034 18106 20101 
294,24105 30087 12028 21884 34685 
296,18741 35061 17644 25694 8809 
299,36855 12028 21884 34685 33143 
301,22457 1963 19161 2157 4357 
308,33215 17383 18200 15973 20941 
310,22787 14590 21364 2928 1304 
312,5054 14705 8425 9243 14381 
314,15973 20941 33266 12028 21884 
318,12028 21884 34685 24626 10148 
321,29642 33215 10202 16965 18946 
326,28347 3303 5778 10630 19248 
327,20110 4064 12997 15971 24105 
333,16825 3174 25329 6237 2553 
336,11758 15973 20941 33266 33215 
337,8376 21388 31484 24105 33424 
339,29046 31341 8948 12533 16180 
344,1882 10460 10903 11487 17570 
350,5866 21796 33424 24560 2157 
353,12997 36855 15971 16271 16826 
355,13267 3376 16399 18516 19929 
359,17759 1017 22247 36115 20957 
361,7274 32674 27131 33398 718 
364,25925 1192 12255 24853 6617 
365,65 15761 20525 23241 1294 
374,8877 4064 15971 12997 12028 
375,2911 25512 15973 20941 33266 
376,19409 32334 19658 12491 33543 
378,17011 17756 10278 18063 16641 
379,3659 8506 31962 13303 27098 
380,12028 21884 34685 8227 12667 
383,24198 29521 36708 19318 2134 
385,16314 22007 10480 34421 19999 
388,19330 19372 25142 8912 27083 
390,1719 5811 8648 8958 13215 
393,19854 32656 35294 11927 30722 
399,15973 33266 19330 19372 25142 
401,4850 5086 5526 10176 11745 
405,30717 34826 3223 35480 23833 
412,30466 24819 29885 10102 10563 
413,4735 11592 2041 14532 25982 
415,22767 21486 5861 23137 15016 
418,17041 30137 4261 33109 18616 
431,16271 16826 421 23684 12074 
433,11758 19330 19372 25142 12028 
441,2157 4357 7586 13017 16278 
