userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,32799 52 32808 19913 24595 
8,29 19642 4 39 1304 
9,16414 10246 30287 14381 12298 
13,16419 28688 32775 24647 32877 
18,33215 367 1174 4120 10490 
19,23786 3465 58 33944 13575 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,8216 36869 24639 28688 15973 
33,28346 6539 10620 26098 28738 
35,8216 15973 20941 33266 24626 
37,30033 27323 8234 2544 13780 
51,15973 20941 24639 24626 11752 
52,25645 45 24595 24612 103 
53,16412 8216 8238 8233 15973 
54,54 8216 24639 30279 15973 
61,9 24596 8205 13094 228 
64,15973 8216 33266 20526 8233 
69,24608 28715 16394 11836 22378 
76,24608 31601 17676 35294 8336 
78,35300 6612 20495 26739 13943 
79,8216 24608 8233 8205 35294 
85,24595 2050 24626 28720 28701 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,54 32808 24608 32775 16451 
95,9 52 32799 12028 21884 
100,32777 32799 52 24649 16414 
104,24626 24639 32777 8205 16414 
105,17782 35061 7197 13376 17644 
109,8216 15973 20941 54 24608 
110,32806 32777 52 16443 16414 
111,52 33562 16451 33780 12866 
112,30053 14532 6725 33515 19072 
122,9560 2157 4357 7586 13017 
126,52 35513 25967 16516 54 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,14372 28688 32775 29355 22002 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,16484 24639 12354 12362 12384 
152,72 5280 5457 9489 10465 
155,10232 613 22908 24318 28860 
156,54 2050 30728 28703 28725 
160,8216 4106 12320 36869 4104 
162,5946 29 32777 32866 22592 
164,52 29 45 24626 21823 
165,32777 12340 12318 28688 32800 
166,8295 52 16430 16417 8205 
169,22533 22433 20796 33115 7937 
173,24586 26596 34136 4105 2882 
179,31341 2561 2623 37065 12028 
184,30727 28707 32721 8216 15973 
185,3 24594 24608 16417 32777 
186,16425 16402 8336 32777 26808 
187,19913 29 8205 24608 32799 
189,13655 19804 24612 45 21851 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,1696 15214 34208 35703 20846 
205,12362 35738 616 2030 27726 
208,52 32808 32799 8216 24626 
209,12492 19718 24834 18527 7010 
217,32806 12305 22546 24613 24608 
218,16419 8231 12288 8205 24608 
222,24608 32797 24612 32813 32808 
223,24626 24639 52 19642 8205 
234,20941 8216 33266 24639 16425 
240,8216 4121 12328 36869 28688 
246,32834 17022 32858 32780 16397 
247,269 28431 35738 10334 15221 
250,12295 32797 4102 32803 32780 
257,7274 32674 20556 8233 24586 
258,24613 16394 32797 32808 5352 
268,33132 6753 30837 13228 22381 
269,8268 58 8205 54 13659 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,24626 8216 15973 20941 15971 
281,15973 20941 8216 17756 27753 
288,21874 36587 4034 18106 20101 
294,8205 16367 8216 16419 8206 
296,18741 35061 17644 25694 8809 
299,8214 36872 24613 8205 12 
301,26630 52 28701 18480 32849 
308,24596 8216 17383 18200 12319 
310,52 39 19642 6 32777 
312,5054 14705 8425 9243 14381 
314,12 11731 8216 24626 20484 
318,8205 32770 21495 20484 24639 
321,16425 54 29642 32777 32 
326,28347 3303 5778 10630 19248 
327,24626 24639 20110 32820 8206 
333,16825 3174 25329 6237 2553 
336,11758 8216 12328 4228 15973 
337,24626 54 39 52 16396 
339,29046 31341 8948 12533 16180 
344,54 16408 32806 1378 32777 
350,24626 32808 32770 32802 24560 
353,8198 16443 8233 16396 4100 
355,4154 32775 28715 28707 54 
359,17759 1017 36115 22247 20957 
361,7274 32674 27131 33398 718 
364,25925 1192 12255 24853 6617 
365,65 15761 20525 23241 1294 
374,24626 24639 8205 15971 4064 
375,12320 9 15022 27824 8216 
376,19409 32334 19658 12491 33543 
378,12354 28703 21167 20556 28720 
379,3659 8506 31962 13303 27098 
380,12028 21884 34685 57 26585 
383,24198 29521 36708 19318 2134 
385,16314 22007 10480 34421 19999 
388,32869 8216 12 8205 32770 
390,24626 24765 19141 23240 20484 
393,24586 8205 24603 26285 32656 
399,8216 15973 33266 24639 57 
401,4850 5086 5526 10176 11745 
405,30717 34826 3223 35480 23833 
412,36194 24594 28720 30466 3 
413,4735 4105 11592 20486 36872 
415,22767 21486 5861 23137 15016 
418,17041 30137 4261 33109 18616 
431,4 8234 16402 48 24586 
433,11758 28701 24608 9 24595 
441,12288 24595 8205 16396 32777 
443,24608 54 57 15973 24626 
445,24626 24639 8216 8205 32806 
449,28688 14372 26639 28691 16394 
