userId,RecommendedItemIds
4,32578 26804 17644 24880 18970 
5,1076 17648 15743 3674 10446 
8,29915 33818 28109 18200 13284 
9,35738 12866 32308 18830 33562 
13,9913 30278 25677 15469 3242 
18,1448 18741 35065 16484 14020 
19,23949 2623 17389 13373 8717 
23,4735 573 26898 2284 30453 
26,13069 20262 1074 30982 22579 
29,34517 27686 7368 36691 20035 
31,19798 14372 18830 7597 14988 
32,32308 27971 20620 12866 17389 
33,31085 21765 21919 7301 15803 
35,12866 2911 26104 8962 2464 
37,26346 32083 32727 23951 34351 
51,20941 15973 31992 17782 12866 
52,9913 8156 30360 26147 12354 
53,11081 22328 9074 22904 2041 
54,30142 9052 21913 54 3841 
61,13782 1074 23978 25920 25694 
64,8216 15973 17782 33266 15917 
69,12866 3006 18200 8216 6405 
76,8810 14644 28634 25363 21851 
78,35300 25694 24626 21459 18099 
79,10734 19752 9415 32375 17463 
85,876 29355 30360 12841 26024 
89,21157 34789 6254 35513 17782 
92,19907 17207 24547 14878 32019 
93,14738 16818 32916 12 22029 
95,31076 27132 13886 4105 25363 
100,30278 9913 20965 14372 3974 
104,25363 9913 34633 33532 20620 
105,17782 7759 15973 14780 4228 
109,2623 31341 1397 37065 2561 
110,6238 19642 24123 11072 14442 
111,2453 25920 13367 34517 3599 
112,10446 34602 24894 3853 15823 
122,2523 21717 34713 4896 26658 
126,1904 24123 11072 32684 6238 
131,14648 15280 21157 35665 33449 
132,14644 31136 6446 29848 18546 
136,12102 21412 3242 31914 9420 
140,25304 58 30924 27352 22976 
144,18200 12102 33475 21412 17383 
145,28393 14968 16566 1904 32215 
146,8394 21412 22976 6699 31914 
151,17648 21913 12653 36248 18615 
152,13323 15280 14932 34303 22880 
155,16367 32947 35148 32564 29101 
156,14738 16818 32916 12 28814 
160,18562 33597 26846 16766 32231 
162,33037 6461 27583 3078 24880 
164,22850 2041 35247 22029 8447 
165,6631 6478 35574 31400 30758 
166,2041 35300 29915 23949 25925 
169,22796 15743 9194 30863 33443 
173,27116 1729 30087 13886 27476 
179,2623 31341 37065 2561 21412 
184,4475 8549 21644 4122 29805 
185,2623 20262 35738 15037 13913 
186,34517 14174 2442 20048 33475 
187,2623 579 26868 35738 8589 
189,31992 1448 4228 32038 30514 
190,75 8875 14537 26658 23067 
191,8447 26147 36248 27433 28928 
197,19752 20048 27660 13886 30253 
205,35738 2911 18303 10446 25939 
208,27847 24626 4228 3366 28059 
209,12492 24834 2041 34517 32038 
217,10110 16484 18170 33562 9308 
218,13069 20262 1074 9052 2912 
222,18741 18164 2712 34223 17782 
223,10446 13373 9577 1076 16367 
234,8216 20941 33266 17782 18070 
240,19426 10446 30453 35738 30898 
246,26468 36872 8394 28814 11579 
247,269 35738 28431 2911 16153 
250,13061 11512 7098 18562 12873 
257,7274 32674 10685 22850 19798 
258,25304 9913 13367 26743 6343 
268,1853 32479 15847 16262 20985 
269,8717 15280 26285 14789 2339 
270,24512 15293 10546 20484 27569 
274,3077 21505 2041 21912 12305 
278,15971 12997 24626 14572 33475 
281,1076 15743 18200 10446 28701 
288,36587 35317 1729 9420 23571 
294,22976 19127 10059 10685 8233 
296,18741 15973 21484 7759 4475 
299,7368 22338 2041 23374 30278 
301,10059 9420 27983 26630 24822 
308,18200 17383 12454 1360 8549 
310,20620 52 25421 4228 29005 
312,14381 20635 14738 30253 36835 
314,15280 3841 7368 13726 1289 
318,3456 31836 4708 26741 20620 
321,26736 29642 26332 2050 7759 
326,8630 12669 17975 13899 33628 
327,17676 17235 30261 13142 30119 
333,16825 28753 9913 34774 20635 
336,12867 30964 228 6552 21913 
337,29577 13011 7966 13367 19637 
339,21495 2623 31341 28199 17648 
344,6442 18316 30360 17856 8447 
350,30616 33266 11259 27753 4605 
353,34660 26743 12023 36179 31273 
355,17445 23843 17463 8205 689 
359,34913 24364 3841 31770 18012 
361,7274 32674 10685 22850 19798 
364,25925 1192 16499 16364 1448 
365,29005 4122 25304 27610 5292 
374,20941 15973 17782 33266 15086 
375,2911 9893 19426 22850 6446 
376,33543 29005 12491 23030 22976 
378,27753 18063 11157 17756 16394 
379,9577 34602 11774 7597 8216 
380,3077 30595 2143 30925 27971 
383,30616 30142 2623 7368 36501 
385,30370 29389 22762 12873 35746 
388,22461 8001 23030 13061 29848 
390,35738 18562 7903 23540 8599 
393,8519 12997 6193 5747 6699 
399,8216 15973 17782 33173 33266 
401,6461 21459 6892 3436 28053 
405,3223 30717 11109 22338 33173 
412,30633 20620 2623 15037 11210 
413,2041 33562 1076 34090 7811 
415,15469 14738 28753 26868 30360 
418,30137 12354 27132 8519 17815 
431,269 35738 19426 25694 14572 
433,25938 24639 15971 21495 5589 
441,19112 11366 6821 27753 8549 
443,8216 15973 14988 33266 33173 
445,21495 2623 31341 1397 2561 
449,35738 88 9577 2623 34602 
456,12102 13920 35247 34472 3451 
458,25967 34718 2578 11891 21996 
459,32916 30898 10769 418 10446 
463,27569 32947 17173 6708 18546 
466,34223 33562 26332 2442 34043 
477,27526 9893 5227 24834 23030 
478,7368 2041 12997 28966 32038 
481,3456 2049 31836 35300 20620 
487,25936 7811 23949 36745 7008 
488,14932 27562 31828 23067 28568 
491,15932 17833 30084 8785 30453 
494,32684 15530 19798 25277 23130 
503,10685 13886 2623 5227 23188 
504,11210 26147 8156 8013 25677 
508,20468 33603 34090 19426 34591 
509,28821 30824 19642 6552 32100 
510,12997 24626 15971 25364 21913 
511,9123 23030 2623 3077 13069 
516,5578 17782 22776 35100 7815 
524,9123 32808 21818 35943 22272 
527,15743 17648 18200 25920 28701 
531,21336 10195 9913 8156 12697 
532,6446 2523 19478 14932 8810 
541,21495 1397 17152 31992 6258 
542,14738 12 22029 8134 8759 
543,1730 10446 26285 3499 29707 
549,8599 8717 11109 31992 13367 
551,23336 6627 14101 22976 22347 
559,25122 26509 17445 8522 1436 
565,20635 30253 16125 14839 21844 
568,6446 15280 1289 3841 25670 
569,21495 31341 2561 2623 37065 
572,4475 35100 28030 17380 23833 
582,27847 30653 24407 2712 20620 
589,27508 30595 26285 15086 17463 
590,23336 22347 6627 33562 25694 
592,24786 3081 1259 31992 6552 
595,34930 32347 25554 32460 30182 
599,4708 19622 2041 3276 32347 
600,32347 3719 4039 21851 23188 
603,3456 28753 2623 23030 22850 
605,8216 15973 17782 27322 30360 
606,14372 2041 3974 269 9913 
615,5945 9577 30058 8519 10644 
616,2041 16367 19887 23030 22341 
617,24123 34223 11366 29159 18605 
621,34891 25304 18303 3974 12900 
632,27923 250 30360 14616 11237 
643,20262 30982 20377 20620 18069 
646,28701 17463 20759 15743 6537 
651,8717 58 12354 10452 3431 
652,4228 25938 33562 24488 8810 
653,2623 8013 11259 30964 20620 
654,27502 154 17552 3564 14694 
658,1076 32916 4341 30137 12354 
659,36379 19676 36812 33173 18117 
663,21495 2623 31341 1397 37065 
665,23506 31713 26285 15031 31136 
673,26197 16735 11673 12384 28814 
675,23030 14369 30142 30360 8884 
680,7274 32674 10685 22850 17389 
681,14076 14738 14839 19752 9194 
684,33475 17383 17756 1076 17648 
691,6821 25694 26804 25421 14264 
696,19987 12866 30360 2911 2614 
700,17529 7992 36204 22093 6446 
705,22029 1729 10452 2623 33500 
706,17676 25500 29848 3841 22435 
710,10446 11264 3077 24880 34223 
712,1076 17648 18200 25920 10446 
713,2623 21495 37065 29915 22976 
715,2134 2623 32642 14372 31037 
717,25421 28814 52 8717 21717 
722,14572 15971 36998 32777 19622 
