userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,10 2762 11472 36190 6321 
8,30279 31290 8134 11157 33443 
9,30287 26335 30445 19426 1265 
13,7130 15469 25365 15016 23137 
18,1448 18741 17644 8227 17207 
19,3465 33944 23786 20374 8399 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,25987 28719 17924 20620 34351 
33,28346 6539 10620 26098 28738 
35,12866 35300 36350 28199 2911 
37,16016 14351 35391 24488 15623 
51,20941 15973 23336 24547 11707 
52,11557 28294 18717 11745 37101 
53,23282 4708 29833 17925 2597 
54,14841 19977 19371 12530 29408 
61,13782 228 35775 10170 7926 
64,15973 8216 33266 32287 8233 
69,2417 25910 17456 33838 19519 
76,36163 6942 24834 11863 9477 
78,35300 6612 20495 26739 13943 
79,2134 10734 21195 30287 25500 
85,876 17645 19022 4327 11708 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,33628 14738 31136 6446 16818 
95,35486 17529 5846 1289 3272 
100,12535 11554 21561 4223 20532 
104,10149 8867 11916 14246 20277 
105,17782 35061 7197 13376 17644 
109,31341 2623 26621 29046 2561 
110,9973 5861 22482 25967 7446 
111,2049 12866 2041 24716 27009 
112,30053 14532 6725 33515 19072 
122,9560 15464 29556 16278 34568 
126,25967 1363 7168 34718 2192 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,12102 21412 9980 12873 7402 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,12653 35775 25421 30833 33707 
152,72 5280 5457 9489 10465 
155,10232 613 22908 24318 28860 
156,33628 14738 4554 10200 16818 
160,7392 10320 21263 12693 14239 
162,22592 5946 24999 16367 13672 
164,52 30758 22850 843 20620 
165,8173 6478 17403 6631 25421 
166,3203 9415 6237 33649 1073 
169,22533 22433 20796 33115 7937 
173,17781 16659 14988 11579 3584 
179,31341 2561 37065 2623 1397 
184,7114 34740 28964 15917 16155 
185,473 15959 36853 29885 37048 
186,30265 31601 23949 8336 6643 
187,11774 12431 17397 1652 17364 
189,31992 6111 6773 13886 16724 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,1696 15214 34208 35703 1289 
205,12362 35738 616 2030 27726 
208,33780 27847 20620 30653 52 
209,12492 19718 24834 18527 7010 
217,8962 9308 22347 30087 12004 
218,13069 8205 23833 15086 26332 
222,18741 7031 17782 26951 18170 
223,13173 16766 10261 26485 14668 
234,20941 8216 33266 11752 2247 
240,14583 35281 17833 25363 25939 
246,9723 29501 28536 33693 32834 
247,269 28431 35738 10334 15221 
250,14789 28967 14932 14785 7928 
257,7274 32674 27131 33398 35300 
258,3587 32928 11264 4796 17097 
268,33132 6753 30837 13228 22381 
269,31924 6744 5591 6855 29570 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,12997 15971 24626 17853 36583 
281,1076 15743 34595 21412 1448 
288,21874 36587 4034 18106 20101 
