userId,RecommendedItemIds
4,32578 35061 98 30408 10129 
5,25920 25939 36190 14553 10 
8,24760 33443 36607 27040 15625 
9,30287 26335 30445 19426 1265 
13,15016 15469 25365 7130 23137 
18,1448 18741 17644 17207 16484 
19,26468 6627 2049 3465 33944 
23,4735 33562 22389 24488 6821 
26,13069 23833 24256 28592 27139 
29,24217 21284 1041 31496 19215 
31,17126 19798 10963 14820 26723 
32,20620 17152 22850 33173 6461 
33,28346 6539 10620 26098 28738 
35,12866 35300 1289 28199 7393 
37,35391 14351 16016 15623 14734 
51,20941 10059 23336 24547 11707 
52,28294 6442 16501 10195 21336 
53,23282 4708 14101 17925 35300 
54,22029 6892 25938 14841 34351 
61,14647 9476 19837 15221 25694 
64,15973 8216 33266 8233 15743 
69,2417 25910 8191 17456 33838 
76,36163 24834 6942 10452 22850 
78,35300 6612 20495 26739 13943 
79,2134 10734 33500 19752 26197 
85,4327 876 13373 34713 27569 
89,21157 14029 30308 26745 34829 
92,3164 19907 34752 31887 14879 
93,33628 6446 31136 3456 14738 
95,1289 35486 31076 22338 36869 
100,11554 21561 33376 12535 33546 
104,10149 9913 27569 20620 30653 
105,17782 35061 7197 13376 17644 
109,31341 2623 26621 2561 29046 
110,9973 25967 22482 5861 52 
111,2049 2041 12866 34351 19987 
112,30053 14532 6725 33515 19072 
122,35738 14535 2523 31726 23949 
126,25967 1363 7168 11891 579 
131,27152 19494 30603 14648 25472 
132,14644 34081 3593 2376 17555 
136,12102 21412 9980 12873 7402 
140,22104 25304 6693 7402 9222 
144,14079 36496 1756 31272 34813 
145,18439 31345 20496 13040 25777 
146,21412 8394 12873 3398 17648 
151,6014 27358 25421 30087 1977 
152,15280 1304 30059 10018 24760 
155,10232 613 22908 24318 28860 
156,33628 14738 10200 16818 1460 
160,21263 7392 33597 25257 35327 
162,22592 16367 33037 579 24488 
164,52 30758 22850 17597 20620 
165,8173 6478 17403 24880 7597 
166,9415 6237 3203 2580 17207 
169,22533 22433 20796 33115 7937 
173,11579 17781 16659 14988 13405 
179,31341 37065 2561 2623 36248 
184,30453 28964 36855 15917 34595 
185,36853 15959 26044 11862 30925 
186,6643 23949 24608 36370 20955 
187,11774 12431 4327 1652 35738 
189,31992 6111 20745 6773 13797 
190,75 36387 30405 14859 20797 
191,21877 28599 6203 13397 31589 
197,1289 21912 6461 27997 13739 
205,12362 35738 616 2030 27726 
208,20620 52 33780 18615 30653 
209,12492 19718 24834 18527 7010 
217,8962 8606 24894 21912 7393 
218,13069 8205 15086 20882 24488 
222,18741 26951 17782 18170 10059 
223,13173 27569 30137 25967 19243 
234,33266 11752 8216 20941 2247 
240,25939 28701 33475 1447 23507 
246,9723 29915 19858 16184 26468 
247,269 28431 35738 10334 15221 
250,14932 28967 14789 11512 4407 
257,7274 32674 7393 35300 19752 
258,3587 3431 11264 10415 33562 
268,33132 6753 30837 13228 22381 
269,15280 8717 31924 6855 29570 
270,18522 34653 12758 19351 29768 
274,21505 3077 12305 1057 11458 
278,12997 29159 15971 30514 24626 
281,1076 15743 34595 21412 1448 
288,21874 36587 4034 18106 20101 
294,32025 22976 19127 11731 29584 
296,18741 35061 17644 25694 8809 
299,22338 19022 7368 5293 16356 
301,1037 36155 16104 26630 24822 
308,17383 18200 23188 30863 36248 
310,52 20620 17856 34351 18791 
312,5054 14705 8425 9243 14381 
314,1289 30964 775 3841 7368 
318,29915 8205 3242 33788 31825 
321,29642 33266 30492 26736 25631 
326,28347 3303 5778 10630 19248 
327,33173 30261 7393 6461 10082 
333,16825 3174 25329 6237 2553 
336,3431 33546 32591 18543 7368 
337,18303 11107 29577 5488 17445 
339,31341 29046 12 18586 33475 
344,6442 7368 3431 9913 6461 
350,6627 30616 21661 14601 22796 
353,12271 36056 27398 25624 3662 
355,23843 18755 12734 13963 17445 
359,17759 14337 22022 22247 31129 
361,7274 32674 27131 33398 718 
364,25925 1192 12255 24853 6617 
365,29848 2569 8606 35795 13886 
374,2049 20941 9233 7392 24626 
375,2911 7393 19987 35300 17207 
376,19409 32334 19658 12491 33543 
378,18063 17011 10278 17756 27753 
379,3659 8506 31962 13303 27098 
380,26585 25312 3387 26325 9349 
383,24198 29521 36708 19318 2134 
385,16314 22007 10480 34421 19999 
388,18497 3356 34994 8001 228 
390,26028 33014 12001 8606 5352 
393,2442 10469 26743 28199 17782 
399,8216 15973 33266 6111 26468 
401,28308 29305 16927 5850 4976 
405,30717 34826 3223 35480 23833 
412,15959 473 36194 36853 2101 
413,2041 33562 34090 2049 16451 
415,22767 21486 5861 23137 15016 
418,17041 30137 4261 33109 18616 
431,19426 14734 28431 269 21412 
433,11758 1289 25938 29848 269 
441,2523 36663 23273 21799 6627 
443,15973 30595 33266 17207 11081 
445,2623 1397 29046 21495 26621 
449,4394 8216 14869 9577 35738 
456,3674 25784 9864 25421 12524 
458,34718 16367 6411 28102 20387 
459,14197 18311 29682 18563 1877 
463,27569 15037 5279 3431 17679 
466,12275 3662 22724 21959 25513 
477,1289 35300 20255 1544 6343 
478,28966 28203 14317 32382 33175 
481,12347 12669 6461 2049 26147 
487,7393 25936 35158 7811 13116 
488,26474 13846 2909 15894 2625 
491,5834 17833 15932 9949 24918 
494,32684 34084 17260 10615 10661 
503,36745 13886 18393 15596 24662 
504,36212 11397 11964 15732 4725 
508,17676 22272 2234 16766 31136 
509,20620 4327 3609 20262 21406 
510,15971 12997 24626 34313 28590 
511,17126 3272 9123 24263 1141 
516,17782 17644 5578 15973 13530 
524,18303 18803 5993 2041 34351 
527,15743 17648 1448 32019 27911 
531,30365 13020 16721 19388 21336 
532,28672 23833 35381 24372 31939 
541,30059 28036 13668 4244 17328 
542,33628 14738 30898 1460 19987 
543,36965 11946 28010 11031 13822 
549,4 5279 30815 16786 52 
551,23336 16803 11752 35579 18514 
559,19159 28021 19465 33136 24237 
565,22338 14839 30253 20635 18189 
568,18016 1289 25304 775 6066 
569,17207 15452 1289 2561 31341 
572,4475 17207 25920 18200 13367 
582,27847 30391 2928 11066 4177 
589,27508 13376 32687 23833 32287 
590,23336 16803 16687 34602 14734 
592,21765 24786 7368 23188 9164 
595,16890 31701 2175 25645 1070 
599,10701 6461 5279 22338 27569 
600,16632 1489 27071 3067 22061 
603,3456 21063 20256 22338 30883 
605,12 35300 36056 33266 8216 
606,14372 9607 10514 9577 14616 
615,5945 8752 24974 15851 27674 
616,19887 17107 5360 35738 34070 
617,2578 25967 10859 30758 2586 
621,27271 6876 3433 12900 12609 
632,22224 20235 30050 4505 36049 
643,31830 20283 19377 10518 17881 
646,19705 1162 33939 12270 25735 
651,27163 22509 24019 571 9297 
652,24488 4228 17380 6821 4122 
653,25626 28190 13094 9793 16916 
654,11543 14815 23476 8832 20839 
658,32916 11420 13502 30645 35805 
659,5298 26270 1709 9125 35300 
663,29046 31341 37065 2561 32916 
665,23506 36951 11989 7114 34530 
673,20301 1320 25316 4635 6161 
675,36501 35300 14616 19929 28294 
680,7274 32674 35300 3216 7393 
681,18782 28303 28151 17925 4708 
684,17756 17383 33475 17011 17648 
691,6821 17529 2041 24488 8205 
696,19987 37056 17210 8053 16505 
700,9420 13367 37132 17207 25421 
705,22029 33500 13094 17445 13920 
706,17676 28154 8649 23044 6574 
710,4064 24880 36905 10446 11264 
712,1076 33475 20941 2623 26621 
713,37065 2623 21495 26621 29046 
715,22103 11008 24651 7483 28877 
717,25421 15280 13069 35247 4327 
722,19242 14572 12264 28568 9535 
725,2339 3077 8717 14234 14572 
729,2658 7307 7369 13739 26423 
733,22338 11900 3436 20635 21919 
739,36843 3077 26325 21505 25887 
741,15743 33475 17648 36248 23949 
744,17132 11939 16446 24187 27591 
747,8216 15973 24626 22338 19752 
750,28199 33266 17732 19022 24639 
757,3216 35390 6773 11264 35738 
759,7597 2068 33755 9066 10546 
761,20495 13160 28199 26739 30019 
773,250 35071 11862 15111 19111 
777,25304 15293 31828 13094 2148 
780,10059 35065 17472 29219 25925 
782,2049 9233 11366 1456 2041 
784,24109 10200 12077 32038 28076 
787,2623 26621 29046 31341 37065 
788,18741 35345 10059 17597 16803 
789,9902 6773 13198 26332 33788 
791,22494 29805 27139 16511 31086 
792,2829 17938 20947 24356 4618 
796,6623 19532 14372 4105 18803 
801,22776 6561 24626 31484 7566 
806,10491 6238 30091 5145 9577 
808,36338 36935 11677 15818 5232 
810,10859 13547 36998 16566 32800 
813,7393 10701 12866 26332 1289 
816,20444 10663 33509 15192 2010 
820,1289 36501 31341 2623 3006 
826,10040 25626 33298 26804 36607 
827,33475 12997 35738 17445 30622 
828,22976 35894 23251 2523 8216 
831,1289 20282 4373 18222 15214 
833,4327 5926 1836 15623 20262 
834,33500 35300 17082 5227 3899 
835,2892 3853 35158 33143 36535 
839,13257 1267 26332 2041 13069 
850,19419 28393 25421 34345 12255 
852,2143 29403 16845 28966 29824 
853,24547 17207 12866 7595 17644 
854,9576 10410 6871 2675 31825 
857,25626 32937 12275 7901 24942 
862,26325 12841 18200 1853 7643 
867,17383 33475 2712 30019 30622 
869,30964 31274 2041 2523 33550 
873,31057 8146 36723 20389 34547 
874,18527 12569 1961 17602 664 
879,17644 10059 35065 18170 1289 
883,28910 17463 2227 18170 2597 
884,18383 18753 16768 33443 31103 
